,Seed,Mode,P_BKS,t_BKS,P_DKM,t_DKM,t_depol,t_pol,P_eq,t_dep_turns,fit_reliable,N_over_tau,qx,qy,spin_tune
0,3981081104,misaligned,92.2619555089882,745.7836908006902,90.92433608195084,734.9748872152262,50711.65182151477,745.7836908006902,90.92478312534864,70580178766.17511,False,2.833656750326172e-07,15.425471625495854,15.366330964610288,0.4983614235804136
1,1392999357,misaligned,92.35105936067193,743.9668883476071,91.84767317599524,739.9191271243353,135995.01064210793,743.9668883476071,91.84859743277823,189277056014.8784,False,1.0566521067628965e-07,15.440335375748768,15.369403243414212,0.4906011299591453
2,136304618,misaligned,92.28867697431365,744.3660758824194,91.81877030093068,740.5529598218707,144564.83671949804,744.3660758824194,91.81591572446708,201204489549.60324,False,9.940136050030521e-08,15.403893476489849,15.423681027471911,0.4924591724045346
3,2069092292,misaligned,91.95194590704077,742.9444467295198,87.88695389782521,709.6974129542614,15859.03137635859,742.9444467295198,87.83706293735204,22072506601.468742,False,9.061046106412384e-07,15.45755191543213,15.354685831201849,0.498013883326838
4,4065003327,misaligned,92.16780993579142,742.8242127581171,90.42990586235294,728.6422883612112,38164.99926852471,742.8242127581171,90.40815147301132,53117821530.7236,False,3.765214653698082e-07,15.43083104644478,15.3753310435433,0.4920100023819392
5,2672839169,misaligned,92.17691750930318,742.4476909574362,84.65434543558634,681.282469067019,8269.676466715066,742.4476909574362,84.58308742362993,11509687071.789532,False,1.7376667041643896e-06,15.450963314238308,15.420729437926338,0.4869790919295129
6,1954193856,misaligned,92.2085675612095,743.898453201385,90.3444935539007,728.7058580849199,35680.748187692625,743.898453201385,90.3253973150584,49660255486.48752,False,4.027365506696189e-07,15.433380932293383,15.378146472048616,0.4931118247578095
7,1753684486,misaligned,92.03075551047948,740.1142592771976,82.54397227282855,663.8105253495779,6438.684058837077,740.1142592771976,82.54263905601815,8961322606.70795,False,2.2318134139071285e-06,15.475006007453771,15.40217517541663,0.4884043512031229
8,2135894156,misaligned,92.13602032692997,742.6926350352975,90.3477831906706,728.1447441947662,37172.93074858974,742.6926350352975,90.3312565485286,51737066399.10712,False,3.8657004333637997e-07,15.443813197634206,15.393470468344224,0.4922793034835489
9,3023483286,misaligned,92.29155411564466,744.2822111659304,90.0567022063449,726.1396822128435,29789.27853389158,744.2822111659304,90.04186687665302,41460542670.49996,False,4.823863536699537e-07,15.453283909472615,15.412682446065144,0.490808170377797
10,2326265147,misaligned,92.30255472097656,743.7747368024936,87.21211571121343,702.6620078481271,12711.9328548694,743.7747368024936,87.20045898382759,17692393387.581375,False,1.1304293072094125e-06,15.453907283958676,15.387089339020177,0.4894158193203253
11,3145756365,misaligned,92.09269119112987,741.3819028338335,31.28312061283832,251.53608763824587,380.7000029390073,741.3819028338335,31.245212695036432,529856025.1653801,False,3.7746102809263226e-05,15.482019109552754,15.377103961786824,0.4898951360426951
