,Seed,P_BKS,t_BKS,P_DKM,t_DKM,t_depol,t_pol,P_eq,qx,qy,qs
0,1848462259,71.04921000151826,831.1472698849047,71.0126128958843,831.0947857970991,13161363.588675382,7.29504687198015e-07,1710.7461743640886,15.438963228557817,15.413661643702964,0.036611728106184405
1,4026911799,91.21424915862542,791.0134320262273,91.18709904842646,790.9997475343445,45722664.048171744,7.295046871655284e-07,0.19581379847147837,15.430877543158886,15.39599410427378,0.03668209185318766
2,450864809,32.41212448144671,876.6107859824285,32.29950323342886,876.510783002187,7683359.081443423,7.295046872312223e-07,0.017831183630856083,15.42845609378054,15.38464531330948,0.0366893868035319
3,3450711626,71.09721576466117,832.5600763234025,70.94070591349882,832.4999652505662,11530425.292796018,7.295046871991015e-07,0.01009238406057076,15.41543425726035,15.388739432597575,0.03673793130076092
4,2700790927,72.57763124344592,828.3205849795113,72.40253896592465,828.2671586914591,12841444.959406959,7.2950468719583e-07,0.017982648669561358,15.44551357833615,15.397611963906147,0.03667952367296423
5,3552525077,62.028297098403364,846.4166343222757,61.9929705113146,846.3473897005596,10345388.44033307,7.295046872095658e-07,0.04742769492538807,15.437306423830895,15.385794049852597,0.03665867904149778
6,1729663650,86.54735990559179,803.8223663646962,86.50568576941163,803.8037339886239,34677027.6126782,7.29504687176249e-07,,15.43207756180927,15.36587906194346,0.03682270939082144
7,2084561990,56.32861579717188,853.9462151321555,56.415456689161616,853.8722222997163,9854480.878778232,7.295046872151097e-07,0.6175206558692437,15.428897773814906,15.387822351367475,0.03661611791051317
8,993209587,89.39739684033921,795.5665487884136,89.36410521098487,795.5574343735439,69441526.57865499,7.295046871693788e-07,0.018194172042219067,15.424710012215257,15.369675886828947,0.036720685994690416
9,1171546266,28.93013674033544,879.1472107475848,28.993408910634276,879.0372517283878,7028101.50220428,7.295046872329739e-07,0.5230767299285981,15.443804787180168,15.387088130853865,0.03658898642844566
10,268242018,35.907977782623384,874.7059796899745,35.67936057155971,874.6232899345779,9251910.566341504,7.295046872299002e-07,2.681166582827131,15.442658205069861,15.398377914715459,0.036597608063813236
11,102072959,92.13627806181273,789.8850877072276,92.12754586807733,789.8791637472137,105320388.90831341,7.295046871645673e-07,0.312296423835193,15.415197767632781,15.388385815318406,0.03677404498875786
12,1864849627,87.33367700320686,801.6023648318525,87.30903798959274,801.5788731025763,27352074.11603717,7.295046871744154e-07,,15.415420711980387,15.377315527670303,0.036822644336423516
13,3518562004,53.86828857722548,856.9090357415346,54.17129726589304,856.777995596643,5602716.683946494,7.295046872172645e-07,0.02673237279106827,15.42792870266616,15.394989817984568,0.03655775245657639
14,2276171747,81.99026985576515,812.0638546234535,81.96603882229884,812.0224403127023,15922372.265986852,7.295046871829681e-07,0.02568440090897578,15.412242519960886,15.400285137905453,0.0367761550273486
15,622486797,92.30788570975716,790.9514538103051,92.30438232279012,790.9452720226442,101200388.48081626,7.295046871654755e-07,0.24819655494753484,15.404382018214527,15.37691315856245,0.03666152197149419
16,1726131255,83.55738159501878,806.1136732836225,83.6095225733497,806.092441218757,30604754.78558086,7.295046871781309e-07,0.10096981815866518,15.474277751067332,15.406779501983689,0.03632067268009309
17,3400432587,54.45011054053565,856.6918821119884,54.45077882296383,856.612952900656,9297614.28592769,7.295046872171071e-07,1.9351157329920383,15.439646945678835,15.39421262911314,0.03660679975780806
18,3047003000,85.01018015393355,804.4761878873605,84.9776400459848,804.4564820485831,32841336.58607217,7.295046871767871e-07,0.5390315723247755,15.443907058538976,15.41098476414909,0.03663627591143215
19,749123624,72.59059337339401,829.5130893214957,72.36927565469529,829.4545847740343,11760512.044312526,7.295046871967536e-07,26.033757077669044,15.431077742397024,15.378569174901711,0.036821244159984834
20,3840050096,70.28022232055082,834.4781195391313,70.17914897846198,834.4241897895151,12911402.9594006,7.295046872005708e-07,0.2124974874196061,15.413554716143056,15.377950942100776,0.03674911311029072
21,142535928,72.3852727254224,830.341019559911,72.41695341693706,830.2865005577495,12645516.4633552,7.295046871973932e-07,0.05570830609399087,15.437059327401935,15.387742239578353,0.03660858054669941
22,2637798920,40.597815513610655,872.2618160652484,40.76993651980852,872.1616775456647,7597009.941046219,7.295046872281955e-07,4.498767494252738,15.41863003440205,15.3920634726989,0.036699361955831566
23,149100583,89.36988348465283,796.3553030360731,89.30394884463307,796.3365965737397,33900951.466875926,7.295046871700413e-07,,15.420708988958785,15.381674671557045,0.0368054186016854
24,2561831605,62.70407586162657,844.6180307122991,62.66439790807211,844.5268411745875,7822197.758393774,7.29504687208227e-07,0.018335548302693076,15.422990323479413,15.397160316353451,0.03664973341836686
25,2738027581,68.30188175007751,836.9104124783315,68.1916089453869,836.8543435562033,12491271.229487462,7.295046872024241e-07,6.3600531316224505,15.423244527251187,15.374235955604295,0.0367298278822602
26,2242690945,91.46236978778246,788.9828894123592,91.46363698122269,788.9792220791605,169739446.24125007,7.295046871637968e-07,0.16322934324239496,15.462173099511174,15.399181439678745,0.03646341405373982
27,1110796949,46.15997757759653,865.681734542529,46.066013987068786,865.5714334510784,6793308.842428345,7.29504687223558e-07,0.003932521400954736,15.430392306952797,15.383822458371876,0.03666696621504961
28,2040674701,88.0114909529491,797.5790220321536,87.99487639320785,797.5687913517185,62178086.848114565,7.295046871710666e-07,0.04935466288551421,15.425525356875239,15.386135030728948,0.03674993736625615
29,1701148632,92.31425173402806,788.8586168550829,92.31603008451792,788.8544381323236,148919815.17148614,7.295046871636906e-07,19.903048848059406,15.453137155644333,15.402474663851104,0.036487388581984914
