,Seed,P_BKS,t_BKS,P_DKM,t_DKM,t_depol,t_pol,P_eq,t_dep_turns,N_over_tau,qx,qy,qs
0,4191850979,10.85846241670859,887.299854915192,10.864157783747984,887.2854881192577,54799155.530798405,7.295046872385357e-07,10.539836702339917,40234201214.412506,2.48544762867514e-08,15.418304300044134,15.379967797020715,0.03668969849780135
1,2569069830,20.346330873130842,884.2251272876717,20.350680831897826,884.2099661664234,51568789.476704344,7.295046872364501e-07,19.763982172150985,41136383453.62368,2.4309380554257513e-08,15.416295653264102,15.385155905607846,0.03669153405379144
2,2701057588,13.411696673546745,886.6302117059213,13.410498445288813,886.6156745752917,54075337.37414226,7.295046872380828e-07,13.025992852295222,41046046484.536766,2.436288231502951e-08,15.427346911845122,15.367495439685108,0.036660645133219816
3,761308632,3.7117497595256768,888.3321783063352,3.731559695909475,888.3169325436456,51759989.43337559,7.295046872392327e-07,3.5349498754129627,24347175761.687614,4.1072525609873255e-08,15.422445327075781,15.381814738846725,0.036678601184350124
4,461482996,27.9005531693037,880.4327695058458,27.893172498388196,880.4190933955712,56679114.54040629,7.295046872338578e-07,26.954313096685272,34379142812.018616,2.9087403530329142e-08,15.428107220038509,15.37689140983019,0.03666135092081918
5,1446387924,11.104354898520787,887.2846090414515,11.090719139977988,887.2694786533945,52031748.92215741,7.295046872385255e-07,10.73286473715279,35140116828.906075,2.845750356690349e-08,15.425083782753202,15.376058480458834,0.036665294026879736
6,759703655,21.06490972223987,883.9271774804076,21.072579600933125,883.9122491476072,52337663.554094136,7.295046872362473e-07,20.17348682236838,27421144820.049957,3.646820752971677e-08,15.417874653288433,15.383837947287514,0.03669307522413007
7,1269496119,18.340209180204205,884.9901137576215,18.318407209513506,884.9750757862968,52081106.9575864,7.295046872369704e-07,17.562874026865238,27409278915.525497,3.648399518578972e-08,15.419860911154672,15.376708947214333,0.03667818889835034
8,1794445519,16.15656509713451,885.7812013539805,16.169481721452513,885.7667074656014,54132850.8773091,7.295046872375074e-07,15.49810674475283,28579110588.6785,3.4990592058387775e-08,15.41707694230269,15.378758822682434,0.03669320941266274
9,3065271716,17.082658816525896,885.4319699427984,17.097146658772715,885.4173090723772,53474095.98946053,7.295046872372705e-07,16.631899539382765,44784145396.80514,2.2329330863402812e-08,15.415706006302637,15.387546775419242,0.036704423153413435
10,3885252922,54.56078961348586,856.7538594756562,54.56236009547734,856.7442213178912,76157595.26760694,7.29504687217152e-07,53.07908372154848,42071635178.71638,2.3768983443407736e-08,15.42241640825497,15.38123887625091,0.03667718754739896
11,3736073042,33.11983415835664,877.072789199556,33.117148815281354,877.0589080864213,55416629.44017498,7.295046872315421e-07,32.308481561182205,47875626164.816605,2.088745526914678e-08,15.42264956287247,15.375975477904992,0.036676476342764996
12,2088071946,9.337579875311961,887.5676503808622,9.337957090563135,887.5530240049272,53859093.70866625,7.295046872387167e-07,9.092741199118825,45184365221.092445,2.2131549156591703e-08,15.423758483094256,15.372199608671245,0.03667410115187508
13,1464558158,74.70554928307152,826.8630550909035,74.7109943763751,826.8574231621824,121396752.14315715,7.295046871946975e-07,73.62903413900717,77523694321.52809,1.2899282067912275e-08,15.412491497031862,15.392252689937617,0.03670654248813371
14,3666462455,9.251529131494935,887.5670115756388,9.240131800524036,887.5521140392451,52878674.47712121,7.295046872387164e-07,8.823871009775479,25103570269.04601,3.9834971252397964e-08,15.422907049693517,15.37565349429707,0.036674316624611514
15,3496484698,36.186399811609796,874.7964148486727,36.20418794897651,874.7837647840652,60494370.973338015,7.295046872299632e-07,34.97243591430321,34546099477.761375,2.8946828010025782e-08,15.425328159644138,15.381172725747684,0.03666992598805435
