x[mm] xp[mrad] y[mm] yp[mrad] t[mm/c] p[MeV/c]  ID
-1.093164908323064122e+00 -3.081290294887477632e-01 -5.817927523246330807e-02 5.715882088321934118e-01 2.784961894239536487e+05 2.915888839481698597e+03 6.824400000000000000e+04
2.337776086244550827e-02 2.824757823044946048e-01 -3.610178477336740688e+00 2.176470118078013272e+00 2.785045452856157790e+05 2.979189895113069269e+03 6.278500000000000000e+04
-3.461661532573658828e-01 -9.377102480580232768e-01 -5.362558280428900703e-01 -1.943028768809903051e+00 2.785064275474286405e+05 2.897345329895673785e+03 6.114800000000000000e+04
2.124191122023189049e+00 9.022715545608444021e-01 3.667049848558368019e-01 -6.492711214048205726e-01 2.785044095275545260e+05 2.994260138307594843e+03 6.114700000000000000e+04
5.376568719846971378e-01 7.776547606071522456e-02 9.603959403490961444e-01 5.408669726551295076e-01 2.785009703443237231e+05 3.065666517512446262e+03 4.425200000000000000e+04
-1.142915731061060702e+00 2.080973876813746737e-01 1.785434202041704443e+00 -9.979302007055576018e-01 2.785034736508599599e+05 3.007959332574363998e+03 1.600000000000000000e+01
-9.247002609146603991e-02 -3.721489133764177559e-01 -1.232713044275224767e+00 1.084763521286739030e+00 2.785094725152203464e+05 2.615183497913779775e+03 3.537500000000000000e+04
-1.705567034899138301e+00 -7.665538351425261743e-01 7.679494960467070364e-01 -1.115447133268916008e-01 2.784979789251494221e+05 3.000654687913184716e+03 6.114500000000000000e+04
-2.841996560666478988e+00 -9.422629173986769580e-01 7.751251931100906489e-01 1.150523193254578747e+00 2.784980416916685062e+05 2.982856971527079168e+03 1.900000000000000000e+01
9.733514758159647062e-01 -5.868970936122691606e-01 -9.962767289058638287e-01 1.633796319889458060e+00 2.785051338964236784e+05 2.951491880404844778e+03 6.114400000000000000e+04
5.657116286897210244e-01 8.022166551562651682e-01 5.686860543961149705e-01 8.594888902688493371e-01 2.785040920153119951e+05 2.997630283023401716e+03 4.585700000000000000e+04
8.152769143531533036e-01 4.029405000603746290e-01 -6.251585900712236521e-01 -5.507718412332730795e-02 2.785028549274705583e+05 3.037252607612732845e+03 6.114200000000000000e+04
-1.861248305783748391e-01 -3.784617488963515908e-01 1.062258694690877858e+00 2.861651438151297522e-01 2.784950752677095588e+05 2.839713981058417176e+03 2.300000000000000000e+01
-1.824172320996015895e+00 -1.147363952759695715e+00 -1.882428055688650570e+00 1.747605737374185120e+00 2.785049166238511098e+05 2.969019168457399701e+03 4.424000000000000000e+04
2.739466659514290026e+00 9.942058405727138837e-01 9.106419999833899048e-01 3.954503786383336550e-01 2.785013562359357020e+05 3.058695447107500513e+03 4.027700000000000000e+04
4.367578760884890166e+00 8.630580057906015456e-01 1.086015824883084457e+00 -6.404582801878183629e-01 2.785097526376532624e+05 2.605336703216167734e+03 5.658600000000000000e+04
-5.911145653591843852e-01 -5.551573311701024638e-01 -2.551279655092797763e-02 1.866066024288186853e-01 2.785012835701903678e+05 3.059626345454003967e+03 7.071600000000000000e+04
1.711787393543455216e-01 2.114255747854886791e-01 2.409532136418509829e+00 -1.406439690589278868e+00 2.784962693036618293e+05 2.899529456696774560e+03 2.806200000000000000e+04
-2.285449562703660842e+00 -9.896733113434342810e-01 -1.137851795374549946e+00 1.928184610312848324e-01 2.785023176857384387e+05 3.040692425358806304e+03 5.229900000000000000e+04
-4.588932171978480135e+00 -1.411023627607428832e+00 2.180156757058562267e+00 -2.128956638641690269e+00 2.784967537730965414e+05 2.915935623795804531e+03 2.759500000000000000e+04
2.267154904377542302e+00 -4.531092148191007141e-01 -2.790462142711588989e+00 7.450352534510678026e-01 2.785053952137090964e+05 2.962418983270768422e+03 6.244800000000000000e+04
1.189950325463188241e+00 7.955276260585497639e-02 5.327718505792117254e-01 -6.229738940187657184e-03 2.785044584422053886e+05 2.982951227956057210e+03 3.537400000000000000e+04
3.224468780898543052e+00 3.956119583082404745e-01 -3.019383051532474660e+00 2.320149879790257774e+00 2.785063340170320589e+05 2.928710088900680603e+03 6.690100000000000000e+04
4.261347719551719315e+00 1.495220591136022792e+00 2.174922841738500701e+00 -1.560860937078275557e+00 2.785029944792942260e+05 3.017632767721865548e+03 3.400000000000000000e+01
9.386207812628899472e-01 2.031581124526820326e-01 1.423277628857947952e-01 -4.876046421635531480e-01 2.785020799052687944e+05 3.030664101429099446e+03 3.500000000000000000e+01
3.210099813230568255e+00 2.166375761861466742e+00 1.002441376685865304e+00 -3.568085522276563393e-01 2.784981398485284299e+05 2.965883807650854123e+03 3.600000000000000000e+01
7.194544222956976709e-01 -2.968236193849063120e-01 -2.173509279029251395e+00 3.851798095917040587e-01 2.785107532073087641e+05 2.525375797910395249e+03 3.700000000000000000e+01
