Sx Sy Sz x[mm] xp[mrad] y[mm] yp[mrad] p[MeV/c] t[mm/c] ID
5.792728172797854611e-03 3.621496127942742862e-03 1.428453065287758027e-02 3.422272353186042171e+00 1.229862050690413211e+00 9.466059992939694911e-01 -1.098620964345189410e+00 3.025870950907524275e+03 2.785014226092215977e+05 4.492800000000000000e+04
-3.431631292077263334e-02 -3.064730722524559511e-02 1.715209100626257158e-02 -2.537414397815414446e+00 -1.154479508809070909e+00 2.277259954249962970e+00 -1.234861133740779771e+00 2.933184593743957521e+03 2.785048275478587020e+05 1.300000000000000000e+01
1.187247180865723672e-01 -2.090787680043592472e-02 -4.696067059261590376e-02 3.979193415165146686e+00 1.714273060449893027e+00 8.034241692973936866e-01 -6.036271196281672857e-01 3.021812694356928205e+03 2.784988038839178043e+05 1.400000000000000000e+01
-2.017747585910095037e-03 4.364294726076579835e-04 4.632461762899281986e-03 1.521974734498009019e+00 6.985127308403455970e-01 -1.772679048536083046e+00 1.320342711302542771e+00 2.922961325691186630e+03 2.784956832264799741e+05 1.500000000000000000e+01
1.882922682458194972e-03 -3.319400723085992252e-03 -2.377285586732198232e-03 6.780129808853099238e-01 1.420602946473167316e-01 -1.023272196297652925e-01 2.820666900726951365e-01 2.709237008943906403e+03 2.784924622802018421e+05 5.524900000000000000e+04
3.729354040879491461e-03 -3.356037534898053450e-03 3.270887214325061704e-03 4.380107763482829486e-01 -9.168958822203573944e-02 1.063248340238920786e+00 3.905555785845117311e-01 2.976369339174917059e+03 2.784965776778303552e+05 2.487000000000000000e+04
5.226404203050245487e-03 7.187207036345137981e-03 1.302345240067729303e-02 1.349546835154057101e-01 -1.850008219783325775e-02 5.365922909693735532e-01 -1.592284262320126098e-01 2.931036760247007351e+03 2.784955626522746170e+05 5.295900000000000000e+04
-1.413970077476193674e-02 3.133051947598520376e-02 1.039823634014259840e-01 -1.406013104945628589e+00 -3.623525378732206370e-01 5.608489642516103491e-01 -2.440139334023901263e+00 1.845647867285983693e+03 2.785152945489386329e+05 3.294600000000000000e+04
9.746782195916350042e-04 4.261155123370209886e-05 4.098868297506309821e-03 -7.227935609281994633e-01 -4.839544708064073553e-01 7.047469043138179234e-01 7.039350870003820981e-01 2.829923163192988795e+03 2.785063599771230365e+05 6.161300000000000000e+04
5.108833830366881629e-02 3.406389283685487546e-02 1.435888114980664321e-01 2.499617420841204307e+00 5.774820158957086891e-01 -2.671227912362098778e+00 5.729234865858718467e-02 2.789389711005506342e+03 2.785066673664642731e+05 5.727500000000000000e+04
-1.713681302047181942e-02 5.365833824097956950e-03 3.440052209266994399e-02 -3.451714248754991665e+00 -7.509846123032996035e-01 2.896888071814676557e+00 -5.918663167353949150e-01 3.029723427111448018e+03 2.785006086364611983e+05 6.944300000000000000e+04
-2.187844311174852452e-02 1.831617236912528451e-02 1.921555422609826785e-02 2.563501533987432524e+00 8.370909279306923967e-01 -2.285675795324511039e+00 1.075687152015073922e+00 2.962908903643019130e+03 2.785041789134587743e+05 4.492600000000000000e+04
2.298263475663081014e-03 7.617411900974158274e-03 1.553526138347851096e-02 -4.928185005163038035e+00 -1.505270365867408255e+00 -3.134499424919229060e+00 1.946387917433521464e+00 2.844590274804651926e+03 2.785061453587185242e+05 7.102600000000000000e+04
-5.315255571260566261e-03 2.132751310386475987e-02 8.392368861063737029e-02 -5.178942107708054188e+00 -8.806480340826884357e-01 -2.580231093583388979e+00 2.042905874533256227e+00 2.822241887042575399e+03 2.785064724317048676e+05 6.161200000000000000e+04
-1.619676405527208183e-03 -3.218007854617516237e-03 9.538057085602633448e-03 6.123850961737732357e-01 1.069348951389568425e+00 1.322221518966625986e+00 5.380122187241140885e-01 2.893822516298745541e+03 2.784956974428593530e+05 5.295800000000000000e+04
-1.304221094804931823e-05 1.509508012094168930e-05 8.073440378833668678e-05 6.304267281807466317e-01 6.331265675687974825e-01 2.684295372840205807e-01 7.878311031143783727e-02 2.858963791721946563e+03 2.784944589912933880e+05 6.161000000000000000e+04
-3.140850040198445853e-03 -2.069842257771915481e-03 4.660279628392642419e-03 -3.386988676597372017e+00 -8.102445356239440510e-01 1.196466963585990140e+00 -3.206096492067663228e-01 2.859326287216900255e+03 2.784947546673123725e+05 5.295600000000000000e+04
4.300787573090636071e-03 -9.907490660559222038e-04 1.957141269315445294e-03 -3.542315381974578958e+00 -1.191371575590421061e+00 4.806557757197038039e-01 -9.269357419241022189e-01 2.816022692502151131e+03 2.785065883872081758e+05 3.409200000000000000e+04
7.895895587369298162e-04 -2.988024311271818365e-03 8.417091256056939350e-03 -1.483094532068367721e+00 -4.879644373681561453e-01 -3.474769311568356445e-01 6.680188870259663042e-03 3.046614048755493968e+03 2.784990162243781378e+05 5.525000000000000000e+04
-1.955717097093288316e-03 2.311754421849214480e-03 -6.073042398489974375e-03 2.638646610084656619e+00 1.754997973269684375e-01 1.824641209451019208e-01 1.379042741576963840e-02 3.041359744195393887e+03 2.784992017844222719e+05 3.642400000000000000e+04
1.220934211314165206e-02 1.029933339948204589e-03 2.621665063094850284e-02 -1.445758433981131630e-01 5.079896195326090158e-01 4.211563635181738707e-01 -1.185106278666662405e+00 2.970373912726917752e+03 2.785037350630881265e+05 3.200000000000000000e+01
6.307835374994914812e-03 -4.447011242913617018e-03 -4.718363351690313401e-02 4.416252774688895322e+00 1.187992765365242009e+00 1.269840673344252435e+00 -7.638249534554014675e-01 2.533664490689343893e+03 2.785097213841430494e+05 3.300000000000000000e+01
-6.372164334535647921e-03 -5.004417478540703528e-04 -2.907940623417105963e-02 1.726983994494782459e+00 3.743503209226192729e-01 1.190043442024102810e-01 5.176549718872140993e-01 2.887769453111365237e+03 2.785052327676387504e+05 3.400000000000000000e+01
1.383989886262585456e-01 -5.486162419260006556e-02 1.418473443057310102e-01 6.006281076348098935e+00 1.644775688791481949e+00 -1.866089502774354703e+00 -7.196999446530044642e-01 3.011250997896731860e+03 2.785023617663368932e+05 3.500000000000000000e+01
8.066897085866396588e-02 2.477537313968766058e-02 5.960963425300887936e-02 -1.883124527773968326e+00 -6.365077374832793788e-01 1.348622758567832980e+00 5.510663496543503070e-01 3.052310086644599323e+03 2.784997156187230721e+05 6.733300000000000000e+04
1.068654472531107083e-02 1.567041977942902620e-02 1.780166306508842999e-02 7.953704879189501753e+00 2.520376808112164024e+00 3.465522292238685242e+00 -2.089296680900113223e+00 3.006273690516182342e+03 2.785024217488366994e+05 4.492500000000000000e+04
