,Seed,Mode,P_BKS,t_BKS,P_DKM,t_DKM,t_depol,t_pol,P_eq,t_dep_turns,N_over_tau,qx,qy,spin_tune
0,1352311016,misaligned,8.934197745905875,887.6843924168827,8.94033914818826,887.6692083417422,51894507.54075195,7.295046872387956e-07,8.638026541132932,35489689452.157974,2.8177197812566215e-08,15.417686475266905,15.384154528183634,2.3429450467287884e-05
1,4265790702,misaligned,26.25739950024628,881.3846784886076,26.249587847596928,881.371671608404,59724351.66980517,7.295046872345105e-07,25.66634087363257,52465136504.21683,1.9060276340263142e-08,15.42045618388335,15.375844754764216,8.986228552547818e-06
2,2033195523,misaligned,3.262485589561708,888.396491072116,3.2774112430067204,888.3816457973206,53164063.83451399,7.29504687239276e-07,3.1606871683638875,37811091836.33935,2.6447265906215477e-08,15.4240633065198,15.38116938604743,1.6988879970038833e-05
3,3064137806,misaligned,45.64585993758416,866.5611970053145,45.645033603161096,866.5497540709803,65622887.47118961,7.295046872241819e-07,44.47719852686541,45208476520.71031,2.2119745608810625e-08,15.42108957913087,15.374836817006653,1.723617373029637e-05
4,151816650,misaligned,87.78427489697106,800.5334504286154,87.78768942231765,800.5317919560549,386411263.5085927,7.29504687173529e-07,87.5565451958299,421910503497.0215,2.370170905230994e-09,15.422330751801244,15.379955096164558,6.405597352862704e-06
5,2006738056,misaligned,75.33362035205451,825.6965137297703,75.32999796769747,825.6908876001052,121179234.72722806,7.295046871937881e-07,74.13263412150151,69865660258.45648,1.4313183276314358e-08,15.419257694147255,15.383353957194426,5.7083325445075815e-06
6,1589678212,misaligned,7.230740672222785,887.9782892727575,7.23639225159903,887.9636383595459,53818654.24654738,7.295046872389941e-07,6.973389914237567,32983197712.342213,3.031846726085637e-08,15.424997479240709,15.379120475269142,1.183322201810055e-05
7,3519289126,misaligned,8.437257890580806,887.7750197471111,8.432681155827556,887.7593167949415,50189960.23739826,7.295046872388567e-07,8.158042582109015,35556710512.54367,2.81240864406515e-08,15.41335617383528,15.384553163089455,3.15574186821457e-05
8,1414809286,misaligned,13.46754264335345,886.6311884929247,13.463803144944077,886.6163414834867,52946804.12713551,7.295046872380834e-07,12.746194287372466,21475852120.88961,4.6563926514808595e-08,15.416953306705866,15.380174819005225,1.2531305508569314e-05
9,162751232,misaligned,14.892811294054054,886.2280186697627,14.909351044918592,886.2134664465232,53970255.37363252,7.295046872378103e-07,14.359871651820944,32733309853.045773,3.0549920081086815e-08,15.423227896154048,15.377459571068638,3.202709253889339e-05
