Sx Sy Sz x[mm] xp[mrad] y[mm] yp[mrad] p[MeV/c] t[mm/c] ID
0.007182682557814539 -0.06751528854682022 0.16089536431121837 -8.288204421440769 -1.332423485722576 -1.0715603683288115 0.5249059670825711 2759.5064099267797 310213.4877398784 41514.0
-0.01278937542317836 -0.07850590095843223 0.15664463232095263 -2.890575976818575 -0.0046983620927865104 -7.7834888203062285 2.211002211781827 2804.7576310908703 310209.77883102896 2.0
-0.01581585977245529 0.04694342170338679 0.12604371603835215 6.611528800620663 1.1626040375910751 -1.6540895614449402 1.8866834345261245 2820.9355976432057 310212.5880685917 3.0
0.013796297748519985 -0.010952146712032741 0.02183134831869334 1.417575325731915 0.07899528762388072 0.27977277940922046 -0.28647600929728934 2858.130220975402 310205.9946082305 4.0
-0.004988676409743697 -0.002171376462114332 0.0013288324451581194 3.6227735337455336 0.3616995024273672 -2.9066783878992077 0.7374229319840363 2882.2322508717043 310207.294998722 43473.0
0.024997778874574557 0.026584271845373184 -0.0038385785446108127 1.0615956527322237 0.24714291970605778 1.2163310389238993 -0.38547117006248655 2856.967246842808 310206.400460454 6.0
-0.010704688014275727 0.008623849870539388 -0.00632580592894961 -6.166092308597165 -1.0621945112343194 2.3566208295348243 -0.6809492171169695 2823.4605997891263 310204.25202430127 42557.0
-0.0023687867471927793 0.010021283308018021 -0.005016575420876335 -1.3829270430946845 -0.3165189152779771 2.641634840045719 -1.6751013391857068 2869.926860071963 310211.5794528787 9.0
0.059647694869699286 -0.04077078685304957 0.026576390945142876 -8.178681494326142 -2.0393278304819313 0.13679433858630424 1.8416598464551903 2156.2402830403084 310226.4045741317 53137.0
-0.0003965409572368878 0.0003364887038026277 0.0013211864985163005 -8.066918046359778 -1.453427175816082 1.6354641031475328 -0.4187942616324948 2887.576232866462 310210.0433932075 11.0
-0.0040576793232950945 0.045136234234742806 0.018904176587307742 10.843604140568216 2.2108081648828186 -4.315680189708434 1.6908044459219895 2493.016893408173 310221.6898225015 13.0
-0.06140954288062975 0.10561713389661938 -0.042566578725478615 -4.180673493366734 -0.6196462380520881 2.302815840405894 -0.6371844251940271 2885.6567538204686 310208.5857094437 14.0
-0.00028092561489888226 -0.0017589020711165462 0.004748560533286073 -1.3778586827661063 0.15888566749929367 3.481520552709895 -1.633274731467748 2850.8873402555837 310205.4799698565 15.0
-0.0230499174147543 -0.001981469405566779 -0.031042146113937765 3.3895195591679927 0.33976492125247043 2.09275287053723 -0.011765289435679383 2868.254560313143 310207.33048489224 42103.0
0.04036369406322153 -0.029028304158479745 0.039014445792586123 17.953217620623256 2.7240747668496623 0.03975106056573223 0.7487716503886712 2830.2420518645517 310212.9073348675 58098.0
0.06607433581524397 -0.05661103593899176 0.055713950253513805 -6.756818390625142 -1.2632867806337778 3.713156919793154 -0.8979895351076443 2740.001015057364 310216.5788010023 67333.0
-0.011925381453320815 -0.006347141117076464 0.012646661369741942 -2.544017099005932 -0.1884717534060139 -4.784799492690191 -1.5036661581494877 2855.563111888838 310211.54055979877 19.0
0.0016602891636850823 0.008511682628066548 0.017565705966945146 12.71900778184064 1.8447423850710272 -0.5895752680823794 1.0155229434318633 2793.740257656109 310213.83995852916 64679.0
-0.0032347580940570763 -0.004214245644124998 0.0027262903608386586 -6.739536169780407 -1.2987135014754372 1.0376417890476488 -0.5278596894459522 2858.9000020617286 310206.87505673664 38577.0
-0.007798465631385565 -0.005714137008326759 0.034252251871980666 6.319766365533139 1.1474953279148092 -1.2096841250005792 -0.029288570964780134 2855.4654189405187 310206.49135228177 40198.0
0.007350365169802419 -0.03910569328635477 0.043236768960083084 -0.880647883330614 -0.8687195230291426 -0.4652135181997487 0.953039658691507 2867.0303101064487 310206.80074056354 23.0
-0.008453108155776441 0.0034372419174044156 0.014878881306623164 -11.061537456708137 -1.4592174825386783 1.6685072217828336 0.9797572910993764 2821.067005264216 310212.54066292825 71026.0
0.07592973675345668 0.0004627966175301825 -0.002936761636962721 1.3937237714924475 0.8982603491508222 -2.046256509018828 -0.6651686624788453 2814.930578537856 310204.41180941527 62723.0
-0.0006777624013437767 0.0017513946337440378 -0.0012827157920546044 -2.0717193770103406 -0.4977204850916843 3.2294330289468474 -0.2996198124117316 2863.221539841324 310206.1596568095 62722.0
-0.020452634294575136 -0.006442340591081101 0.03458617545602911 -9.59385482494099 -1.1040380219718156 1.904248413519542 0.09284640793167963 2824.236403971363 310209.3254786755 53135.0
-0.00824589606386723 0.012139889071247764 0.010730570955097227 7.73408009077881 1.3686102016416075 -3.457111119886194 0.010650333960345468 2882.4086449455317 310210.42874791333 50648.0
0.035220875239867645 0.00565286244285483 0.04906201119866731 13.419959472062978 1.342681702751489 -3.3036231007988297 0.12783060811294852 2825.511322384992 310211.57228921977 30.0
0.006585389753962325 0.012368188367289949 0.025319969185302434 5.399068333183943 1.1512681628789985 -0.8620728597486155 -0.08284786216127843 2873.9005631109676 310209.14670878253 32.0
0.004605509843634624 0.010872063676393443 -0.04632950802723887 -3.2687989768838697 -0.23471110023873978 -7.172699051702641 -0.3849996452948495 2776.819591686928 310214.68406900263 33.0
-0.004015707135772235 0.005468378323606077 -0.028990354403631215 5.8426823535466825 1.1493403720022948 -2.443864318715789 0.04289654475501534 2872.122224474695 310208.3728818315 34.0
-0.14900901432130473 -0.06075379860992045 0.12802343074839048 -0.5021930600941098 0.07985247800185008 -5.05156409739171 1.0489884152346987 2870.502966167123 310208.80361543084 35.0
0.00941538327110246 -0.0002001010057603267 0.0014848690069866046 -7.326062123656684 -0.9209595992782059 1.2030094226289936 -0.13855968518061332 2874.337554353439 310208.5909581154 62721.0
0.010120842319735205 -0.015023631572368176 0.08874615485371697 -5.146414295169826 -0.7260783559443578 -7.537102374807322 2.6967957206850612 2731.5124462486674 310213.94456033246 41513.0
-0.0032030158199635337 -0.015492500910729064 0.016231744868664275 9.156730283685427 1.5487672022060497 -5.0747399203403125 -0.8413275113576497 2874.925235677999 310209.70505631797 67332.0
0.0028763236538127557 -0.0029790211466904923 0.006925213887122724 5.217264986867443 0.29821294740634857 -1.2512457917138702 1.6301462048812465 2869.333354142203 310207.12529308547 50649.0
0.004326844442903273 0.009955885725631712 0.024777983156922506 -5.123797433160369 -0.3765447338369461 5.6070561314472815 -0.05494381911334664 2854.9240634483363 310210.0071990065 47081.0
0.039168552216938976 0.021869550478906024 0.23787666031051533 -2.0302719530361015 -0.6542352111495321 -1.1636956339595872 0.19148139754942198 2816.202876819836 310210.94022281823 42.0
0.004803809178892948 0.009975682366992361 -0.02057539180861547 -4.675381391549162 -0.5276444201515117 0.8247448397566721 -0.06784964751368713 2881.193629673285 310208.1128615283 62720.0
0.004499806998582272 0.037858122400237386 0.12664307793636947 -4.82793310455963 -0.687959168637842 0.7672784286058416 -0.27573021330224023 2799.950913355271 310210.2638409856 44.0
-0.003342366371599461 -0.015890105863184775 0.036666819478186424 -6.222918685415892 -0.5904135448278554 2.305537334253214 -0.9143372675633408 2810.8154736043625 310211.67021574784 43030.0
0.018112413533515295 -0.003651096490411171 0.014162390262595827 5.244079663611404 1.0283050859813474 -2.4598500731091932 -0.7842507389126163 2726.7999999453577 310216.95979607804 71024.0
0.009398489255088661 0.06585459238406534 0.2803983005380484 -4.634013831319501 0.2145533258105385 -1.3641860304832318 -1.0170670369444088 2810.123245420219 310209.1829802577 37621.0
0.1451928429516009 0.032119939034138144 0.3266658917153668 -7.596056428583625 -1.093859616373964 2.347597341440718 -0.5586401162377688 2807.387937126528 310206.9738918209 49.0
0.03242318027201248 -0.03931492318857275 0.11941677273268331 1.459128378048557 0.5914105956454305 0.6310209147296163 -0.549551535572884 2867.640058768835 310206.71653903264 50.0
0.012402666708872672 -0.0030996643503240252 0.04014977793529989 -17.748580294155698 -2.469587700412987 -2.993207340941281 -0.8761272201923807 2829.0744666294795 310212.7536136336 51.0
0.002582963504201161 0.003358810564998627 0.001033625750802354 -2.526365775657325 -0.16474271997511092 0.4005421852218304 -0.45248704726035965 2871.0193301780396 310208.25705753645 52.0
0.030171182395307333 0.038750367913201314 0.08476397025281329 -5.234021759288937 -0.2408885013412771 7.038222702770705 -1.0091996609099696 2848.0590830946876 310210.3975907708 62719.0
0.02018729866183262 -0.014186747193447431 0.018473083800635344 11.351968663117434 2.0877580268552873 -1.574349373857151 -0.6113632868357556 2883.467628418693 310210.3168886469 62718.0
-0.0069537698199773935 0.0010056260829271046 0.0026293345505071226 -10.673193668036722 -1.3819385600486784 -1.1767475037588377 1.0132533721187387 2857.0968458555744 310210.38469120057 55.0
-0.006150052633755178 0.0030943184958514645 0.027382415881994783 3.5604589195366154 0.5856924677448345 0.591556959271721 0.40643691192503584 2851.628953833008 310209.11484088545 62717.0
-0.014724098750907997 -0.010776035467480793 0.035606375035450076 0.5047752788253895 0.13746307742365996 -6.529220586055945 1.3005645146688618 2818.433522425105 310212.3526607889 57.0
0.00203017058379619 -0.0014049751298013632 0.013628121241102053 -7.495396901599382 -0.9568234051499588 6.155658585956114 0.43372710281107874 2858.9014754842724 310210.60161568417 53133.0
0.006157506886718136 -0.00803418143533117 0.02103024332615523 11.236148332086897 1.648680425203744 -5.584145158485158 0.3321416808224264 2864.8925200187678 310209.84882840177 59.0
-0.017907522023713422 -0.04071052091025056 0.06016789648498024 1.5748648016213027 -0.20233583918974637 -5.552727564113642 1.8044413260992953 2813.5743411609715 310211.0226741069 60.0
0.0012849675233379705 0.00230294152417909 0.005587300237899153 3.016706787969658 0.8488312664811661 -2.250210059857289 0.007939602754452298 2878.847972409139 310207.88250290573 61.0
0.005857322594707956 0.006562252499500704 0.013917957016548844 8.863201129267926 1.2842252050596354 0.025772127265634468 0.6884981687288377 2848.495667602263 310209.6071828425 62715.0
-0.008694565620409725 -0.011522331420909266 0.004404148102361575 8.595261009606595 0.8872963297405057 -0.580340204888288 1.291059876271744 2857.323935872013 310206.1178687734 42102.0
-0.0021083635781925514 0.015725844361281868 0.018758109588957607 -8.453565579496038 -1.781854888852109 -1.0150411114589104 1.2886990914951184 2866.6327811968254 310210.9982237174 57015.0
0.014151227835893286 0.01570029247618445 0.07969724278384625 -0.6690228613374626 0.19317648192222353 -6.752433848840826 0.8463448990532695 2816.198940652681 310207.83746595186 67900.0
-0.0020616860697023317 -0.012451164989587152 0.09231149755404029 -7.7729999530390135 -1.7030391501518554 3.011627994421981 -0.08648036996179696 2849.495643260991 310206.66663678485 41810.0
0.032129940780653066 0.024783179225449332 0.005502465340204015 4.305402078674607 0.15780077755989574 -7.866700042517847 1.8279522389380551 2807.36620988026 310211.57268549403 62712.0
0.00833893814702863 -0.0061436218748589615 -0.0010980161456089553 1.0363668513948978 -0.0910082720057424 1.0606653480552837 0.5728838884739481 2871.596291641838 310209.237887936 43866.0
0.000829324090817008 0.007929681080406337 0.01914301431553938 7.107249931152675 1.3352816386961412 0.47054418338194076 1.0353875884458386 2837.1701185809575 310210.86104280566 41137.0
0.0008252527329298458 0.007964258015879851 0.009308734003050614 -0.3764330682846775 0.46761983518746963 0.567171391818502 0.7729273246040181 2855.5460784601164 310210.8507966683 70.0
0.003392195234681515 0.0003255307064532268 0.007137890880223914 0.2566828171814954 0.13929429097281534 -6.605246901410134 1.1134873179184221 2818.411379526501 310205.3530883067 71.0
-0.025894750081921516 -0.026615144359766165 0.029513368272599278 -1.1029164047954993 -0.5611444064366063 -1.8746771760693253 0.008683767740299293 2887.4416175317906 310208.90445006447 53132.0
0.01385220839529832 -0.011006026815916746 -0.01410157144245218 3.1528019966815743 0.9318638864831155 -0.8277573979086836 0.5779036046480704 2870.1534383331673 310207.7973830229 73.0
0.009256401423349206 0.0047222304011506 0.002279296923206049 6.223336006384556 0.7452502692884908 -2.7774255906108545 0.10818681689370174 2869.4206745727606 310207.6275172598 74.0
-0.004655706749026441 0.004001805590584148 0.00919211453119748 4.188834767174127 1.2536344910621606 -1.5412268830580456 1.0354065529830032 2865.424376471105 310207.62720123027 57113.0
