x[mm] xp[mrad] y[mm] yp[mrad] t[mm/c] p[MeV/c] ID
3.026166684023670062e+00 2.703377132364507274e-01 -2.742752608400985448e+00 4.374691430889651178e-01 3.191005965465625632e+05 2.902019906527459625e+03 2.300000000000000000e+01
1.206163211262373025e+00 5.203967398168933035e-03 9.677529938585042402e+00 -3.165450915568772228e+00 3.191526444627898745e+05 2.814374666142754904e+03 5.672800000000000000e+04
2.641539779378107866e+01 1.201908855628754047e+00 -3.517982543579864618e+00 7.857632213549694544e-01 3.191055944045810611e+05 2.859676438469067762e+03 2.500000000000000000e+01
1.323358564086710487e+00 1.490410318705640336e+00 -4.554521369263302422e-01 1.470553031270190047e-01 3.192886897554227617e+05 2.100810081064539645e+03 3.837900000000000000e+04
-7.715513241128995503e+00 -5.006587599179899151e-01 -1.771377531568273378e+00 5.368135638975986001e-01 3.191071930340730469e+05 2.876900337004326957e+03 6.353900000000000000e+04
2.345436282149738094e+00 2.461268857495819695e-01 -8.600147339182928619e+00 1.850682210393356897e+00 3.191029736580321332e+05 2.887635623179387494e+03 2.783600000000000000e+04
1.671528266912682170e+01 9.674255552161198368e-01 -2.655189955414562153e+00 4.950426792918624086e-01 3.191029991487289662e+05 2.874697736209920549e+03 3.628200000000000000e+04
-5.744225950610251097e+00 -3.371904931726098509e-01 1.644164367917746006e+00 -6.916520940739010470e-01 3.191126744472621940e+05 2.862704306016149076e+03 3.000000000000000000e+01
-3.647036594515933317e-01 3.676918337958388072e-01 -1.786623453508011383e-01 7.013249434241659586e-01 3.195400599246915081e+05 2.427490364311091071e+03 3.734700000000000000e+04
1.898010294456996405e+01 1.062014478277000240e+00 -2.638123540108245901e-01 -1.369963313003327854e-02 3.191054022668311954e+05 2.871599859330049185e+03 5.601500000000000000e+04
1.534887944671806537e+01 1.015873139159008121e+00 1.222016596833202184e+00 -6.049190348451778387e-01 3.191076711929531884e+05 2.884884817353800372e+03 4.952300000000000000e+04
-4.416492523628837041e+00 -1.747620562134795386e-01 -3.842366481991424720e+00 8.207236474593774256e-01 3.191038397016390809e+05 2.869640852555462061e+03 2.581300000000000000e+04
-7.363068644451400857e+00 -4.376600599179079065e-01 2.573093207861544829e-01 -3.520438961331540800e-02 3.191089951492256369e+05 2.874783770637955513e+03 3.500000000000000000e+01
-7.703356787424873175e+00 -1.304563587664939739e-01 -8.286902335549953813e-01 -1.065563990961213708e-01 3.191104410220587743e+05 2.830454617693920227e+03 3.600000000000000000e+01
1.600514356216113754e+01 8.654179378352693242e-01 1.977589207867616938e+00 -5.658513470361548059e-01 3.191053258778357995e+05 2.881379959604254964e+03 3.700000000000000000e+01
5.166938686605220710e+00 3.340820449248913526e-01 -1.831415614213847576e+00 6.005889347114913290e-01 3.191029685834472184e+05 2.873670145119806421e+03 6.506100000000000000e+04
-1.430970602387731327e+00 -8.178364867588466813e-02 -6.266712221172984876e+00 1.236327917136809784e+00 3.191065711607969133e+05 2.867474196151587421e+03 4.243600000000000000e+04
1.024449856952059434e+01 7.028499448886291745e-01 -8.439663408044841830e+00 1.510337257691313440e+00 3.191039764558625175e+05 2.868445108168634306e+03 4.952200000000000000e+04
-2.011721378425454887e+01 -1.186388625728625135e+00 -1.658662837023237913e+00 4.203297707525874838e-01 3.191043812673956854e+05 2.883349073413362930e+03 4.295800000000000000e+04
1.628536239352216342e+01 1.082064291145440338e+00 -5.793831927269312843e+00 1.636798422550968635e+00 3.191035253496800433e+05 2.890310317603450585e+03 4.200000000000000000e+01
4.288259394914891054e+00 2.902658041314613024e-01 -3.154373739441119984e+00 8.891064288708075969e-01 3.191020984087637044e+05 2.891494549587979691e+03 4.300000000000000000e+01
1.844686027913385828e+01 8.749812043958068442e-01 3.464528437362757618e+00 -7.174695618839551647e-01 3.191090719021697296e+05 2.879806196085255579e+03 4.400000000000000000e+01
-9.382389505573975441e+00 -6.405681540346191971e-01 -6.571584257214062141e+00 1.819788240189778028e+00 3.191031289579514414e+05 2.883496705484602899e+03 4.500000000000000000e+01
3.070825853532258343e+00 1.524463468323855597e-01 4.185680950494211849e+00 -7.981958472286401207e-01 3.191171984338358743e+05 2.871750593407154611e+03 6.353700000000000000e+04
-3.775184259888145544e+00 -1.407602739032627059e-01 1.527825290705536299e+00 -2.281624066963190423e-01 3.191145959582224023e+05 2.817326561620465782e+03 6.952600000000000000e+04
8.655566735704576686e+00 2.952951079469663953e-01 4.233864102380771044e+00 -7.111283191075991050e-01 3.191078119724249118e+05 2.842849617184578165e+03 3.407300000000000000e+04
-2.751912540723342904e+00 -3.900782095718066667e-02 2.036534804099695339e+00 -3.973669969117713530e-01 3.191059344161311747e+05 2.852023869008860402e+03 4.900000000000000000e+01
5.398024189401211537e+00 3.182096315963687805e-01 -9.928583595674264073e-01 6.707027041432631065e-02 3.191045716461287811e+05 2.889522690156328736e+03 5.000000000000000000e+01
6.012615361868558495e+00 4.298124744696211752e-01 3.430187292604893745e+00 -9.566756052298047708e-01 3.191049866757905111e+05 2.880883703393118594e+03 3.406300000000000000e+04
3.263972393048050868e+00 2.742488797781949834e-03 4.100992723966187192e+00 -9.434972229458168380e-01 3.191226974075231119e+05 2.876218536878690884e+03 5.653900000000000000e+04
-3.227597845892905770e+00 2.392975864868654323e+00 -2.378042043229958935e+00 -1.210814180479403035e+00 3.192083107320811832e+05 2.369950964808975186e+03 5.601100000000000000e+04
-8.881334802264488459e+00 -5.261920893111871056e-01 -1.361877097657885116e+00 9.973247366333051755e-02 3.191024373117606738e+05 2.886334329259701917e+03 5.400000000000000000e+01
-9.817411386188290567e-01 2.419345072098208829e-02 9.604576500143458873e+00 -2.242934960546826062e+00 3.191092199876775849e+05 2.854576791551512997e+03 2.616300000000000000e+04
-7.071361118895293174e+00 -3.793400292137901753e-01 -3.920051451200395221e+00 1.066138083443720186e+00 3.191039189118335489e+05 2.865664266882139600e+03 3.823000000000000000e+04
2.057203372759178706e+01 5.157663160442521599e-01 2.585357941103223034e+00 -6.226910385262627301e-01 3.191374779370395117e+05 2.872674940288279686e+03 5.700000000000000000e+01
-1.810701613270395072e+01 -1.128664220041662558e+00 4.977010541613583472e-01 -6.842899537649031749e-02 3.191046225618606550e+05 2.890683036387983520e+03 4.951800000000000000e+04
2.002044023888190338e+01 6.383825403519420849e-01 -9.737293763755886289e+00 2.754613058189880004e+00 3.191265378281692974e+05 2.880656048089886099e+03 5.934800000000000000e+04
1.110048133135032344e+01 6.396985728977121477e-01 7.114067847810591871e+00 -1.261903588250779640e+00 3.191103997999461717e+05 2.877491785133777739e+03 6.000000000000000000e+01
-3.419456282794792745e+00 -9.335064676961005170e-02 3.329488180644346595e+00 -5.874645150408023264e-01 3.191036417429164867e+05 2.872546056224458880e+03 5.213000000000000000e+04
-1.680817346675136603e+00 -1.772458150236133068e-01 -4.468113006332791848e+00 1.292581653401958519e+00 3.191083725394214271e+05 2.842119446495562443e+03 4.243500000000000000e+04
-2.258128471453215624e+01 -1.161374147990988481e+00 -6.641432091008672600e+00 1.507626313627882242e+00 3.191079319355313783e+05 2.867856131551264298e+03 2.771400000000000000e+04
-2.400421866557817252e-01 2.034761411021350497e-02 -4.980697415817176843e-01 6.320265958570862701e-03 3.191048295105156722e+05 2.859344156966853461e+03 2.457200000000000000e+04
1.428577000040021261e+01 5.824344342277435471e-01 5.417996752655628079e+00 -1.046997912985016432e+00 3.191071909897595760e+05 2.849154117842459073e+03 3.822900000000000000e+04
-1.083619383938204450e+01 -3.309356941717361278e-01 4.827720362628925344e+00 -9.288888573196583121e-01 3.191073601474862080e+05 2.847102658743546726e+03 4.511300000000000000e+04
-2.407276059717760575e+01 -6.760515621590565960e-01 -3.532862470070766481e+00 6.049377437977976335e-01 3.191382979031481664e+05 2.876052293433795512e+03 6.700000000000000000e+01
-1.911196769063399969e+01 -1.117237732884905022e+00 -1.576642549086822720e-01 -1.628608885774578963e-01 3.191053949788069003e+05 2.862228104782559058e+03 5.601000000000000000e+04
-9.866812106802584914e-01 3.979994870975490234e-02 -3.033217377519481950e+00 6.508920542153698863e-01 3.191087333780752961e+05 2.869426128808748217e+03 6.434400000000000000e+04
4.976278308604663358e+00 2.071632154842716067e-01 -1.414017298681435664e+00 8.027505255836983045e-01 3.191033737943134038e+05 2.879326553504393814e+03 3.734500000000000000e+04
-2.132197072896176238e+01 -1.243181150876448982e+00 5.987240460432292632e-01 -4.254273933544271413e-01 3.191045925425441237e+05 2.867469146572291720e+03 7.100000000000000000e+01
6.068115345033869845e-01 5.269405920214034061e-02 1.668896578799314412e+01 -3.836726909023128851e+00 3.191173314161418239e+05 2.876743773204552781e+03 4.269000000000000000e+04
-5.621754848147495487e+00 -4.822989044507682843e-01 -7.816454680414533840e+00 1.951775451243701776e+00 3.191029156090463512e+05 2.882967603453885204e+03 4.511200000000000000e+04
1.533783264248651435e+01 8.928840928488742668e-01 -8.442346034165739255e+00 1.993903501560798208e+00 3.191125819457694306e+05 2.864333435864490639e+03 3.955700000000000000e+04
-1.437032613364147160e+01 -1.074983334364540966e+00 -1.110648616807498046e-01 -2.851651765886101253e-01 3.191012262654341175e+05 2.895765977929265318e+03 4.090500000000000000e+04
1.231440605978049607e+00 5.472912356098828118e-02 2.340957225737707148e+00 -6.913124049229640855e-01 3.191121045442990144e+05 2.823934084471281494e+03 4.511100000000000000e+04
3.421854079969932627e-01 -8.738363431917629820e-02 6.605446965899204770e+00 -1.189835043389310121e+00 3.191026202844143263e+05 2.884561881067954346e+03 4.578300000000000000e+04
-1.254147606925053449e+00 8.048514783052297672e-02 -3.156123869675464100e+00 5.442696856260603733e-01 3.191023612762434059e+05 2.891322752272488287e+03 5.256100000000000000e+04
3.854107684445978510e+00 1.577521041617374331e-01 2.461965741722550227e+00 -5.537634017194636993e-01 3.191076493001234485e+05 2.851509251144317204e+03 5.151700000000000000e+04
-1.410885546182956851e+01 7.715725747405117740e-01 8.178620107266713291e+00 -2.836543844124605585e+00 3.191650504723688937e+05 2.708042959634671661e+03 4.511000000000000000e+04
-6.079447849000265691e+00 -3.813426073075967260e-01 -9.526762068282215168e-01 7.550663381684319386e-01 3.191068736792161362e+05 2.888428569827879983e+03 8.100000000000000000e+01
1.244003611109373608e+01 7.541670309909878078e-01 2.728517416021255304e+00 -5.218807008167447581e-01 3.191099901100577554e+05 2.873291858704209062e+03 4.060300000000000000e+04
