,Seed,P_BKS,t_BKS,P_DKM,t_DKM,t_depol,t_pol,P_eq,qx,qy,qs
0,646278384,32.447330483686436,877.54404013179,32.44756695454931,877.5308528238482,58394933.471804686,7.29504687231868e-07,32.014261738796506,15.418285830166576,15.374951205233225,0.03668474478412792
1,3889938154,35.23410261082871,875.5325906580962,35.223091918413715,875.5191053194036,56842881.58605937,7.295046872304747e-07,35.30664748744953,15.416689166358982,15.379165383996426,0.03669295203630213
2,3941667913,4.3514950160376,888.3754065991693,4.370635408657689,888.3595776750109,49857892.62265159,7.295046872392618e-07,4.262279523020748,15.41085921763003,15.39375731098946,0.03670823578630328
3,2046813066,20.549689524113706,884.2036660382461,20.546872797437874,884.1891399236454,53820536.357043594,7.295046872364356e-07,20.06365181431096,15.41578227684974,15.376308476988399,0.03669404466412418
4,766350031,12.48019844041062,886.9258272778528,12.471318950926326,886.9106137820969,51705665.97379314,7.295046872382828e-07,12.365978989717192,15.428481943168345,15.37422942453245,0.036655894962700275
5,4154042692,23.240956415079197,882.9220662672966,23.225938592069525,882.9079060156666,55051201.989540994,7.295046872355619e-07,22.202854693342356,15.416860195740494,15.383127163918179,0.036690252410530366
6,2272015753,57.016384014672326,853.7166702131163,57.005629343023834,853.7068354894557,74107192.23816994,7.295046872149423e-07,56.327188966945876,15.416235240959068,15.388008659602768,0.036693653625817946
7,531472460,69.05997528181767,836.3972700847306,69.06793415457103,836.3902004042392,98951357.30511005,7.295046872020341e-07,68.7774686786714,15.416942127363278,15.381514271934565,0.036693903072449296
8,955156742,12.510748719723866,886.872473964104,12.513100901236191,886.8575950360911,52861979.618444666,7.295046872382468e-07,12.303036539876546,15.420665363427384,15.38737601128267,0.0366845911063437
9,1339196779,15.743457481974582,885.9399655480265,15.742641069754324,885.925561817664,54491221.50727771,7.295046872376152e-07,15.592017116338553,15.424577894123464,15.382586325337243,0.036671826818644726
10,4086399776,10.01181870771853,887.4662225353579,10.01062177318048,887.4507793656093,50998765.38704765,7.295046872386483e-07,9.846278292534045,15.407201052568118,15.388249427688146,0.03672354880484657
11,2951510132,6.856132293186022,887.9735479458578,6.833217439755206,887.9577783471158,50000195.42416553,7.295046872389908e-07,6.585518209837263,15.42433012929562,15.374209562998812,0.03667032515761276
12,1795898394,9.077726398464943,887.6496532509801,9.080936990205986,887.6345765948373,52260164.10158558,7.295046872387722e-07,8.929632838393859,15.420326154666613,15.38177266925813,0.03668397434239817
13,146706780,31.51382274664185,878.1485212932813,31.518619242526952,878.135807572309,60653656.202631935,7.295046872322855e-07,31.116165790608076,15.420554410802954,15.378874345404908,0.03668172082555804
14,296234469,7.030674444925592,888.0099549464454,7.023224444755928,887.9947544795458,51876576.36601704,7.295046872390154e-07,6.879479114753711,15.419604232498425,15.384013186306756,0.03668368180863135
15,3485570705,47.24707275296132,864.877310354562,47.24656033833669,864.8660541026859,66452228.94079437,7.295046872229862e-07,46.57174506308432,15.41437574520698,15.387473801486903,0.03669966699498134
16,1908281998,25.29422904591176,881.8735052907705,25.287946988580817,881.858547257911,51991307.65039596,7.295046872348453e-07,24.84506374278521,15.418135101172247,15.38715786899554,0.036691844452180156
17,3049479782,6.592045844565679,888.0358017383126,6.5815580323984175,888.0208548006949,52759590.755207896,7.295046872390327e-07,6.52126252283333,15.414514063524006,15.391279952819572,0.036704365960103735
18,1710136505,29.07816186164415,879.7397932786315,29.073359217973827,879.7263237534202,57457871.90412561,7.295046872333815e-07,28.530322064833797,15.423493894743205,15.371891777659512,0.03667446384663514
19,23707132,12.158686348818549,886.981387643264,12.177070885766442,886.9660853191625,51411955.72209455,7.295046872383204e-07,12.061645379571896,15.420217779376788,15.377644073292663,0.03668306431166313
20,4240238802,5.469781847618016,888.1860349261028,5.476374603948685,888.170306725191,50155797.69712555,7.295046872391342e-07,5.413182609739872,15.422729398271056,15.371202317467194,0.036674254624922964
