"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"UJM4GLV4","journalArticle","2010","Xiao, Aimin; Borland, Michael","Monte Carlo simulation of Touschek effect","Physical Review Special Topics - Accelerators and Beams","","1098-4402","10.1103/PhysRevSTAB.13.074201","https://link.aps.org/doi/10.1103/PhysRevSTAB.13.074201","","2010-07-30","2026-04-16 13:29:29","2026-04-16 13:29:29","2026-04-16 13:29:29","074201","","7","13","","Phys. Rev. ST Accel. Beams","","","","","","","","en","http://creativecommons.org/licenses/by/3.0/","","","","DOI.org (Crossref)","","","","/Users/maddiewatson/Zotero/storage/TH82HLNV/Xiao and Borland - 2010 - Monte Carlo simulation of Touschek effect.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AJITRS9S","conferencePaper","2003","Laskar, J.","Frequency map analysis and particle accelerators","Proceedings of the 2003 Bipolar/BiCMOS Circuits and Technology Meeting (IEEE Cat. No.03CH37440)","978-0-7803-7738-7","","10.1109/PAC.2003.1288929","http://ieeexplore.ieee.org/document/1288929/","The development of frequency map analysis in particle accelerators is reviewed. In many examples, the frequency map is folded at large amplitudes. The fold is a singularity in the frequency map that induces a change of the signature of the torsion. When the torsion is non deﬁnite, the dynamical behavior of the beam needs to be studied very precisely, as directions of fast escape may occur.","2003","2026-04-16 13:30:08","2026-04-16 13:30:08","2026-04-16 13:30:08","378-382","","","","","","","","","","","IEEE","Portland, OR, USA","en","","","","","DOI.org (Crossref)","","","","/Users/maddiewatson/Zotero/storage/RZCVB22X/Laskar - 2003 - Frequency map analysis and particle accelerators.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2003 Particle Accelerator Conference","","","","","","","","","","","","","","",""
"HBMVHTET","journalArticle","2024","Zampetakis, M.; Antoniou, F.; Asvesta, F.; Bartosik, H.; Papaphilippou, Y.","Interplay of space charge, intrabeam scattering, and synchrotron radiation in the Compact Linear Collider damping rings","Physical Review Accelerators and Beams","","2469-9888","10.1103/PhysRevAccelBeams.27.064403","https://link.aps.org/doi/10.1103/PhysRevAccelBeams.27.064403","Future ultralow emittance rings for                                                   e                   −                                  /                                    e                   +                                               colliders require extremely high beam brightness and can thus be limited by collective effects. In this paper, the interplay of effects such as synchrotron radiation, intrabeam scattering (IBS), and space charge in the vicinity of excited betatron resonances is assessed. In this respect, two algorithms were developed to simulate IBS and synchrotron radiation effects and integrated in the y tracking code, to be combined with its widely used space charge module. The impact of these effects on the achievable beam parameters of the Compact Linear Collider (CLIC) damping rings was studied, showing that synchrotron radiation damping mitigates the adverse effects of IBS and space charge induced resonance crossing. The studies include also a full dynamic simulation of the CLIC damping ring cycle starting from the injection beam parameters. It is demonstrated that a careful working point choice is necessary, in order to accommodate the transition from detuning induced by lattice nonlinearities to space-charge dominated detuning and thereby avoid excessive losses and emittance growth generated in the vicinity of strong resonances.                                                                                            Published by the American Physical Society                   2024","2024-06-12","2026-04-16 13:30:52","2026-04-16 13:30:52","2026-04-16 13:30:52","064403","","6","27","","Phys. Rev. Accel. Beams","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/maddiewatson/Zotero/storage/5I38STKZ/Zampetakis et al. - 2024 - Interplay of space charge, intrabeam scattering, and synchrotron radiation in the Compact Linear Col.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LNWNRM2J","journalArticle","2015","Miyajima, Tsukasa","Effect of Number of Macro Particles on Resolution in Phase Space Distribution","Proceedings of the 6th Int. Particle Accelerator Conf.","","","10.18429/JACOW-IPAC2015-MOPWA054","http://jacow.org/ipac2015/doi/JACoW-IPAC2015-MOPWA054.html","In order to analyze charged particle beam in an accelerator, a beam model is used to reduce number of degrees of freedom, e.g. charged disk model, charged cylinder model and macro-particle model. In numerical simulation, the macro-particle model, which has same mass-to-charge ratio, is widely used, since it does not require any symmetry of beam shape. However, the estimation of proper number of macro-particles is one of the important issues. In order to study the eﬀect of the number of macro-particles for the numerical model, we deﬁned a simple transformation to generate reduced distribution. The transformation was applied for one dimensional and two dimensional particle distributions. The static electric ﬁelds due to the transformed distributions were calculated. As a result, we conﬁrmed the eﬀectiveness of the transformation.","2015","2026-04-16 13:31:59","2026-04-16 13:31:59","2026-04-16 13:31:59","3 pages, 0.629 MB","","","IPAC2015","","","","","","","","JACoW, Geneva, Switzerland","","en","CC 3.0","","","","DOI.org (Datacite)","","Artwork Size: 3 pages, 0.629 MB ISBN: 9783954501687 Medium: PDF","","/Users/maddiewatson/Zotero/storage/NHGB54PB/Miyajima - 2015 - Effect of Number of Macro Particles on Resolution in Phase Space Distribution.pdf","","","Accelerator Physics; 5: Beam Dynamics and EM Fields","Stuart (Ed.), Henderson; Evelyn (Ed.), Akers; Todd (Ed.), Satogata; R.W. (Ed.), Schaa, Volker","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5C2C7B3K","journalArticle","","Keintzel, J; Blondel, A; Faus-Golfe, A; Korsun, A; Bogomyagkov, A; Martens, A; Carli, C; Kiel, C; Sittard, D; Gaskell, D; Sagan, D; Barber, D; Torrence, E; Carlier, F; Roy, G; Iadarola, G; Wilkinson, G; Jiang, H; Koop, I; Nikolaev, I; Bauche, J; Wenninger, J; Tamazirt, J; Oide, K; Hock, K","FCC-ee energy calibration and polarization - Status and outlook","","","","","","The FCC-ee aims at high-precision particle physics experiments with beam energies from 45.6 to 182.5 GeV, corresponding to the Z-pole up to above the top-pair-threshold. These goals demand, among others, a precise knowledge of the center-of-mass energy and, hence, the beam energies. By depolarizing previously polarized pilot bunches up to 80 GeV and recording the change of polarisation with a 3D polarimeter, it is aimed to determine the spin tune and thereby achieve a systematic uncertainty on the beam energy in the order of tens of keV. The latest progress on the energy calibration and polarisation working group is reported here.","","2026-04-16 13:33:50","2026-04-16 13:33:50","","","","","","","","","","","","","","","en","","","","","Zotero","","","","/Users/maddiewatson/Zotero/storage/888AR4BP/Keintzel et al. - FCC-ee energy calibration and polarization - Status and outlook.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HATEPUZJ","journalArticle","","Sokolov, A A; Ternov, I M","ON THE SPIN AND POLARIZATION EFFECTS IN THE THEORY OF SYNCHROTRON RADIATION","","","","","","","","2026-04-16 13:34:41","2026-04-16 13:34:41","","","","","","","","","","","","","","","en","","","","","Zotero","","","","/Users/maddiewatson/Zotero/storage/SVSAFCG5/Sokolov and Ternov - ON THE SPIN AND POLARIZATION EFFECTS IN THE THEORY OF SYNCHROTRON RADIATION.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RQM4YPHL","preprint","2019","Blondel, Alain; Janot, Patrick; Wenninger, Jörg; Aßmann, Ralf; Aumon, Sandra; Azzurri, Paolo; Barber, Desmond P.; Benedikt, Michael; Bogomyagkov, Anton V.; Gianfelice-Wendt, Eliana; Kerchen, Dima El; Koop, Ivan A.; Koratzinos, Mike; Levitchev, Evgeni; Lefevre, Thibaut; Milanese, Attilio; Muchnoi, Nickolai; Nikitin, Sergey A.; Oide, Katsunobu; Perez, Emmanuel; Rossmanith, Robert; Sagan, David C.; Tenchini, Roberto; Tydecks, Tobias; Shatilov, Dmitry; Voutsinas, Georgios; Wilkinson, Guy; Zimmermann, Frank","Polarization and Centre-of-mass Energy Calibration at FCC-ee","","","","10.48550/arXiv.1909.12245","http://arxiv.org/abs/1909.12245","The first stage of the FCC (Future Circular Collider) is a high-luminosity electron-positron collider (FCC-ee) with centre-of-mass energy ranging from 88 to 365 GeV, to study with high precision the Z, W, Higgs and top particles, with samples of $5 \times 10^{12}$ Z bosons, $10^8$ W pairs, $10^6$ Higgs bosons and $10^6$ top quark pairs. A cornerstone of the physics program lays in the precise (ppm) measurements of the W and Z masses and widths, as well as forward-backward asymmetries. To this effect the centre-of-mass energy distribution should be determined with the high precision. This document describes the capacity offered by FCC-ee, starting with transverse polarization of the beams around the Z pole and the W pair threshold. A running scheme based on regular measurements of the beam energy by resonant depolarization of pilot bunches, during physics data taking, is proposed. The design for polarization wigglers, polarimeter and depolarizer is outlined. The $e^\pm$ beam energies will be monitored with a relative precision of $10^{-6}$. The centre-of-mass energy is derived subject to further corrections, related to the beam acceleration, synchrotron radiation and beamstrahlung; these effects are identified and evaluated. Dimuon events $e^+e^- \to μ^+ μ^-$, recorded in the detectors, provide with great precision the beam crossing angle, the centre-of-mass energy spread, and the $e^+$ and $e^-$ energy difference. Monitoring methods to minimize absolute error and relative uncertainties are discussed. The impact on the physics measurements is given. A programme of further simulations, design, monitoring and R&D is outlined.","2019-09-26","2026-04-16 13:36:07","2026-04-16 13:36:07","2026-04-16 13:36:07","","","","","","","","","","","","arXiv","","","","","","","arXiv.org","","arXiv:1909.12245 [physics]","","/Users/maddiewatson/Zotero/storage/L8KIQW5J/Blondel et al. - 2019 - Polarization and Centre-of-mass Energy Calibration at FCC-ee.pdf; /Users/maddiewatson/Zotero/storage/6XSYU43Y/1909.html","","","Physics - Accelerator Physics; High Energy Physics - Experiment","","","","","","","","","","","","","","","","","","","arXiv:1909.12245","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3YUZEPTU","journalArticle","","Derbenev, Va S; Kondratenko, A M","Polarization kinetics of particles in storage rings","","","","","","","","2026-04-16 13:36:38","2026-04-16 13:36:38","","","","","","","","","","","","","","","en","","","","","Zotero","","","","/Users/maddiewatson/Zotero/storage/IZ3C8273/Derbenev and Kondratenko - Polarization kinetics of particles in storage rings.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TRMZNDM3","conferencePaper","2016","Koratzinos, Michael","The FCC-ee design study: luminosity and beam polarization","Proceedings of The European Physical Society Conference on High Energy Physics — PoS(EPS-HEP2015)","","","10.22323/1.234.0518","https://pos.sissa.it/234/518","","2016-03-16","2026-04-16 13:37:30","2026-04-16 13:37:30","2026-04-16 13:37:30","518","","","","","","The FCC-ee design study","","","","","Sissa Medialab","Vienna, Austria","en","","","","","DOI.org (Crossref)","","","","/Users/maddiewatson/Zotero/storage/6RHXVDCN/Koratzinos - 2016 - The FCC-ee design study luminosity and beam polarization.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","The European Physical Society Conference on High Energy Physics","","","","","","","","","","","","","","",""
"DXVNB8T5","magazineArticle","2022","Blondel, Alain; Keintzel, Jacqueline; Wilkinson, Guy","The power of polarisation for FCC-ee physics – CERN Courier","CERN Courier","","","","https://cerncourier.com/a/the-power-of-polarisation-for-fcc-ee-physics/","","2022-11-16","2026-04-16 13:38:02","2026-04-18 13:28:16","2026-04-16 13:38:02","","","","","","","","","","","","","","","","","","","","","","","/Users/maddiewatson/Zotero/storage/Y3YX2YKK/the-power-of-polarisation-for-fcc-ee-physics.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
