,Seed,P_BKS,t_BKS,P_DKM,t_DKM,t_depol,t_pol,P_eq,t_dep_turns,N_over_tau,qx,qy,qs
0,3410851628,85.31268486909165,777.9695351132822,85.35500517542661,777.9494327441137,30106946.77134089,7.034866873615726e-07,64.92055093978159,3520677370.4349275,2.8403625063675315e-07,15.455030745535936,15.363593716629804,0.03595734140853879
1,2118906880,90.35874964810992,766.7272197396262,90.31322916024675,766.7118498717966,38247488.62592089,7.034866873522451e-07,82.44451618766415,11353713061.193365,8.807691321863406e-08,15.438123451053709,15.345613693585223,0.03626900710497494
2,341906136,78.74471135880057,788.9915265384757,78.6264858587229,788.9196612923622,8661362.2236341,7.034866873704592e-07,18.095561052844285,334629163.2931346,2.9883826925270154e-06,15.47909252977843,15.376657476452516,0.035802095099929876
3,1166697626,88.258067656981,771.9655759420109,88.40413036229859,771.9119113585638,11103960.656187737,7.03486687356625e-07,78.27481801455477,8603837235.358389,1.1622721033010632e-07,15.418594600886964,15.341179474201313,0.03629153478960728
4,467401846,85.84717451732692,774.0745622046146,85.94101696103215,774.0384565151495,16594710.923232896,7.034866873583717e-07,45.98980946085396,1269638075.0100257,7.876260327118053e-07,15.460257702377817,15.39442030811345,0.03596994090864697
5,618676736,28.047033820358376,848.6735500537491,28.009983940904267,848.472889272228,3588526.335862265,7.034866874145697e-07,12.695673534363502,997685510.721977,1.0023198585658002e-06,15.445415490141496,15.363320998159255,0.03597520529334908
6,2696422704,88.4639763236472,768.3025385734894,88.36269724212289,768.2787449875954,24807967.6906098,7.034866873535685e-07,63.096969561448745,2716537227.9708223,3.6811569880342563e-07,15.451068218334989,15.38088679814447,0.03631349865238326
7,1450903793,80.4329342341712,786.9759870238885,80.36058346950968,786.9298738853465,13429901.62461314,7.034866873688528e-07,65.65477332794431,4969944198.439423,2.012095025763072e-07,15.41876558890604,15.371360719425208,0.03600934697454988
8,222694904,33.18795735513566,843.8758210308312,32.87829998939629,843.6999575493094,4048469.802937907,7.034866874112544e-07,13.159941658047202,788204119.9747243,1.26870689286941e-06,15.438019657066063,15.412190311657271,0.03625539771602376
9,1087816314,88.27957830831991,770.6791315997997,88.21801086952246,770.6275260066467,11508569.444566071,7.034866873555549e-07,65.89967574728617,3225839845.1983395,3.0999679090966013e-07,15.443556438390695,15.350515581654419,0.036341366105623996
10,3016418804,85.86354892292987,775.4810030822355,85.81286345815727,775.4479768511602,18208107.778217245,7.034866873595312e-07,70.89125701221478,5219389060.072322,1.9159330498082157e-07,15.431053496047484,15.395817753185637,0.036234456756505884
11,4079975941,86.81002773299173,774.6668947839037,86.73549536943135,774.6488689405999,33290804.97016521,7.034866873588606e-07,71.79874847511,5266938932.495985,1.8986360252445593e-07,15.416641038780284,15.364739960935701,0.036271702771371095
12,2099720415,91.58242489565183,761.7557033018076,91.59473244099769,761.7400107827267,36976841.93703047,7.034866873480326e-07,87.47052056249383,23034486759.49482,4.341316611223386e-08,15.45845475324186,15.383289825126646,0.035752410040779226
13,2681581427,90.79836883578149,765.0571842968558,90.8313788114548,765.0480098910203,63797643.88025688,7.034866873508361e-07,86.66451729916399,22799454761.48661,4.3860698006218295e-08,15.385289413909474,15.371424922612867,0.036176583598913625
14,2637847050,80.94428406686936,785.0292231294567,80.82987400641177,784.956284926854,8448434.43570031,7.034866873672933e-07,56.03284514751712,2510000461.785078,3.9840630120395024e-07,15.349132631179074,15.44345659861241,0.03655701486569435
15,3013148963,65.40660289808619,811.8638100723903,65.26919773160553,811.7565276564026,6142998.750791856,7.034866873881304e-07,26.418080415658146,781973038.3398381,1.2788164693287153e-06,15.431866195572132,15.349043875037585,0.03612824490379629
16,3862671584,26.2615171249252,849.8819580086057,26.14802744094657,849.6903372990034,3768572.2439074507,7.034866874153988e-07,9.39685178816911,673143064.5643636,1.4855683028498074e-06,15.450659968693309,15.392370140301688,0.03600562603732188
17,1636721229,84.97208893691229,777.2547724714422,85.11408676350408,777.1991612043365,10862578.550126322,7.034866873609877e-07,37.476142137801865,871777872.6481389,1.1470811904899234e-06,15.473091947832208,15.351870660843248,0.03607062270981859
18,2639614492,11.95130598622049,855.3431716145218,11.88430969423025,855.2018475329015,5175983.118043813,7.034866874191169e-07,4.943693386180321,857760319.2771986,1.1658268370850512e-06,15.422429403107934,15.377850211038341,0.03604201125484846
