,Seed,Mode,P_BKS,t_BKS,P_DKM,t_DKM,t_depol,t_pol,P_eq,t_dep_turns,fit_reliable,N_over_tau,qx,qy,spin_tune
0,665583480,misaligned,92.31637793285772,788.8003252025089,86.45705050108468,738.4177174001477,11560.817532617544,788.8003252025089,86.41990487811901,15847489022.825811,False,6.310147926650447e-08,15.431197479458469,15.388814685035934,0.4909980939586032
1,3345837992,misaligned,92.31051772898488,789.0604343814359,89.72458042431309,766.7726979382434,27146.3187681302,789.0604343814359,89.70312240103246,37211986736.60492,False,2.6873061282060325e-08,15.412355599395436,15.38221754930122,0.4914120171635735
2,2788374629,misaligned,92.33348233641767,790.1162461339356,87.38904724809254,748.0359849918045,14045.430527118951,790.1162461339356,87.41595650665495,19253379397.381046,False,5.1938933906638e-08,15.424217501369084,15.395085229469162,0.492769431981408
3,1511833320,misaligned,92.28082691349792,788.6547391488872,24.635082085498723,210.51452420368415,287.16784074369326,788.6547391488872,24.63239413457719,393647697.58318985,False,2.5403425604659336e-06,15.464691919108612,15.410960413551775,0.4900992406247274
4,1691332383,misaligned,92.3301253571654,788.8420256958477,82.78596397873972,707.5349233525876,6864.508340633011,788.8420256958477,82.81352417816636,9409820738.745564,False,1.0627195010022172e-07,15.436295021988668,15.39053957336727,0.4901917432127651
5,2793489183,misaligned,92.33161930223658,790.7798828022765,74.40990405354609,636.9285529234654,3273.746719193025,790.7798828022765,74.36790686031924,4487629447.445912,False,2.2283479768347179e-07,15.423293083358493,15.38303551872928,0.4947106159368106
6,896204615,misaligned,92.31498799431034,789.0788464128176,67.99025773551747,581.7922107907482,2214.710683904066,789.0788464128176,68.06435275573592,3035910146.741855,False,3.293905127835229e-07,15.444672379832529,15.400665976784992,0.4903262858615882
7,2557614400,misaligned,92.31614926666958,789.7228269816763,80.40309397333957,687.4360667520785,5307.47041734465,789.7228269816763,80.35914422295102,7275443881.069393,False,1.3744865830138373e-07,15.42781795858328,15.397153516373686,0.4923999119171868
8,170431556,misaligned,92.2956801326213,788.7119085307299,79.86064099018147,682.0172279488254,5041.630066022117,788.7119085307299,79.81018574065222,6911031759.044132,False,1.4469619513632657e-07,15.431746254296137,15.40705581012632,0.4896562554094508
9,4214535423,misaligned,92.27221069020788,787.9843666116094,67.97497924184857,581.084293744672,2213.074808575959,787.9843666116094,68.04441135265165,3033667700.1128216,False,3.2963399384936266e-07,15.43644311199701,15.39859560921505,0.4888235260799325
10,2494580248,misaligned,92.23897714788924,788.6594053431796,76.45346738140428,653.5746753701536,3815.737092769202,788.6594053431796,76.43991707633803,5230586117.377974,False,1.9118316333185378e-07,15.432107270292846,15.359922968085025,0.4926328352503988
11,3125589512,misaligned,92.3121196140548,788.8316864296509,87.20763070756017,744.6576692878442,13297.626140529905,788.8316864296509,87.14270613285403,18228294296.41347,False,5.4859768211925144e-08,15.418800418111454,15.381968112262136,0.4907750739484738
12,1447467256,misaligned,92.22504919539617,788.8763964715006,42.077314433350935,361.7290885914795,668.0588514609568,788.8763964715006,42.288605844933805,915770470.8390172,False,1.0919766817593634e-06,15.450769926690594,15.394038173483274,0.4914006939398946
13,554988496,misaligned,92.25320599585326,787.8078176673604,77.58870501732382,663.5744047834294,4207.958966568556,787.8078176673604,77.70532975836663,5768241159.680168,False,1.733630707034182e-07,15.420279079433003,15.379645451377506,0.4891058197807248
14,2720358607,misaligned,92.33794669232272,788.8244761030697,89.7234529164063,766.4873628954086,27068.13485048831,788.8244761030697,89.72321650694762,37104812760.96733,False,2.6950681746923058e-08,15.432304842972895,15.380685062984693,0.4904315807369248
15,1628768903,misaligned,92.29146805922524,789.236526989711,63.0351340762045,538.9852878223098,1699.8392418543613,789.236526989711,63.02767519538983,2330127921.3042235,False,4.291609876252108e-07,15.435788064963557,15.38812224289124,0.4917183296318916
16,247849379,misaligned,92.3327749077542,789.04467142902,84.54945167449824,722.0927521548641,8510.03891363045,789.04467142902,84.49816589786514,11665502710.952663,False,8.572283807890305e-08,15.444465773749783,15.395844310396065,0.4900344703825725
17,985590580,misaligned,92.29862173907192,788.8772043219111,22.297532577778657,190.73662753906683,251.559220917788,788.8772043219111,22.31618272218543,344835646.859538,False,2.8999322114959022e-06,15.450034582395295,15.404805238442451,0.4900560467505607
18,1344800366,misaligned,92.24872258455906,788.343954929862,89.03772270695191,760.5307108200791,21556.629138512937,788.343954929862,88.994132726902,29549678703.765793,False,3.3841315502105973e-08,15.448636759641296,15.377953873909396,0.4901824734157238
19,2848871968,misaligned,92.33024644014196,789.8782938069336,81.73613205031984,699.665185947861,6126.05370137493,789.8782938069336,81.78507948712374,8397552207.002067,False,1.1908232010349134e-07,15.421162051926146,15.402019774449151,0.4923447242539498
20,665583480,corrected,92.37587671439519,789.9934193250524,92.13105698775253,787.9063917603715,298242.7616522693,789.9934193250524,92.13183543974858,408829122861.47504,False,2.446009699604579e-09,15.421452479387272,15.377601953155313,0.4921606532703499
21,3345837992,corrected,92.37584101910268,789.4143596315486,91.53432639767102,782.2319782225004,85974.98809989674,789.4143596315486,91.53537173312407,117853921343.07008,False,8.485080416535508e-09,15.421520036682134,15.392454985030419,0.4906869465606237
22,2788374629,corrected,92.37581130755768,790.38213965635,92.12678894550866,788.2490813189924,292077.3354219854,790.38213965635,92.12651038766919,400377599063.11066,False,2.4976422315834213e-09,15.418338834342368,15.374999444452573,0.49329910489452117
23,1511833320,corrected,92.3759023583521,790.1056420368271,92.18904407033814,788.5196377934094,392819.7653083635,790.1056420368271,92.19047326465244,538474627863.43463,False,1.857097713160248e-09,15.414390804902832,15.38025841506544,0.4925141373804834
