,Seed,Mode,P_BKS,t_BKS,P_DKM,t_DKM,t_depol,t_pol,P_eq,t_dep_turns,fit_reliable,N_over_tau,qx,qy,spin_tune
0,1931510510,misaligned,92.284877577222,789.6566522148726,86.93049497433822,743.8862304407156,12833.937018474762,789.6566522148726,86.9358214295426,17592672442.592133,False,1.1368369453397931e-06,15.446813135420742,15.363481093578654,0.4938543232890101
1,3502027096,misaligned,92.32054317791048,787.83727843809,86.51758300469194,738.5536266022476,11806.350736771652,787.83727843809,86.54537407662565,16184064247.423311,False,1.2357835271930676e-06,15.450856609884278,15.418865484304453,0.4870046206960584
2,84437365,misaligned,92.348460689206,788.5877495472308,82.15348102169857,701.4926271341122,6351.543884762261,788.5877495472308,82.14908783183225,8706652596.823427,False,2.297094064290206e-06,15.44672914973345,15.389695228322704,0.4888150085073416
3,1597894377,misaligned,92.2403880252606,790.4000291272373,84.15065543246678,720.502580250718,8147.439850379488,790.4000291272373,84.08329342916706,11168454413.257105,False,1.7907580816428575e-06,15.435668431461147,15.37299842030077,0.4957316617172473
4,2790147889,misaligned,92.29106669471534,787.7043750245082,87.03890215466376,742.7113196429664,13002.827900925316,787.7043750245082,87.01947343374391,17824186900.643135,False,1.1220708193582932e-06,15.43743942501405,15.397906040701606,0.4890963542373048
5,1865961847,misaligned,92.35648557025914,789.2117984181615,91.35906762772451,780.4591924973273,70373.05329109349,789.2117984181615,91.33222323149292,96466896600.24706,False,2.073250068661251e-07,15.438081625254132,15.389226464514564,0.4905207865140077
6,2819493421,misaligned,92.23018239574552,790.8026695392914,86.62358266350057,741.9364496486052,12006.767176244184,790.8026695392914,86.53098517865185,16458793721.83754,False,1.2151558818957663e-06,15.424767690308382,15.369502932365917,0.4965918455449234
7,1181154415,misaligned,92.3012337108769,788.8485780493661,84.48029397334487,721.955693286029,8513.816141705258,788.8485780493661,84.47426163798166,11670680509.173538,False,1.7136961280260686e-06,15.45617136653719,15.419429169463328,0.4897197144775782
8,3061129935,misaligned,92.29683737226306,788.7678411093759,79.51375488856854,679.8335119516103,4922.514469789161,788.7678411093759,79.55000168942153,6747748920.402036,False,2.9639514208255965e-06,15.443857313339723,15.395985704293816,0.4904617813769505
9,1687758877,misaligned,92.34719113495866,789.4946130905164,84.8388387189565,725.5428889301876,8956.946976761057,789.4946130905164,84.86675745432133,12278121204.81718,False,1.628913712967195e-06,15.423289155274786,15.395181456002158,0.491532479935752
10,1428166575,misaligned,92.33546399580696,788.9002459306711,81.82582760731731,699.1008204960997,6141.6964145449865,788.9002459306711,81.82504565479569,8418995130.441544,False,2.3755804214310167e-06,15.440682316023407,15.400945163065613,0.489410222502895
11,1438483254,misaligned,92.28384560691428,788.3788733385963,90.88314549384776,776.3733447277864,50982.87319522852,788.3788733385963,90.87853607083092,69886971317.89885,False,2.861763734047776e-07,15.406833778605868,15.390578780860087,0.4901051580744555
12,3188317458,misaligned,92.28667314645271,789.9448056895963,89.19550510978554,763.5972280342444,22893.932482711512,789.9448056895963,89.20857165155448,31382844914.337128,False,6.372908528398928e-07,15.44131993056906,15.392469099382726,0.4933742578490376
13,981575883,misaligned,92.2708332884248,788.969618562462,80.26408690548892,686.8331074672822,5305.550865248873,788.969618562462,80.32586003952323,7272812572.281694,False,2.749967746484276e-06,15.437006410092266,15.407672034345756,0.4902358146718484
14,32217081,misaligned,92.30620270144226,789.1038638821706,87.55902033859768,748.3943313299146,14506.697118221353,789.1038638821706,87.54416498290612,19885680462.46294,False,1.005748837096767e-06,15.45354105021608,15.404816230356946,0.490474978200757
15,1076860294,misaligned,92.32187515030552,789.2769176988432,89.23043335027704,762.9412525764727,22865.26341449197,789.2769176988432,89.24138725954542,31343545553.14386,False,6.380899048606176e-07,15.438466023611554,15.372148210261216,0.4920303653546649
16,2346456897,misaligned,92.25865722583868,790.044020087603,79.50025555732581,680.6970572670408,4918.112270457381,790.044020087603,79.48949031229104,6741714415.887986,False,2.966604451957596e-06,15.43930503871074,15.39888440135475,0.493895482622289
17,3895310070,misaligned,92.30460855914396,789.7405426959266,64.44750736829297,551.9339948238371,1832.9379762871783,789.7405426959266,64.50985936315872,2512578749.4506745,False,7.959949515760492e-06,15.445394969046117,15.380109046716347,0.4930160647023646
18,4275632851,misaligned,92.205029401264,787.7455731317818,73.52636602757833,628.3371750930389,3105.042357889902,787.7455731317818,73.54639578998781,4256370671.2987256,False,4.698838880472197e-06,15.453996831368746,15.418641845639192,0.4882891630039624
19,3319665840,misaligned,92.21560372375862,788.2806195995731,86.0455511285534,735.1049534386946,10897.258652373706,788.2806195995731,85.99494316644417,14937887081.527643,False,1.3388774390142645e-06,15.43206520044037,15.384907805936498,0.4902181323924096
20,1931510510,corrected,92.37558387589223,792.6015453431543,92.29595509119332,791.9183090857464,918680.2789831879,792.6015453431543,92.29595452294174,1259320596973.067,False,1.5881579359594753e-08,15.393370941550273,15.349736967902805,0.4992694756376187
21,3502027096,corrected,92.37563368846628,786.5983257177317,91.91516775964233,782.6711419052843,156765.72302497333,786.5983257177317,91.91443757168726,214893373049.46838,False,9.306941259373321e-08,15.434345948113013,15.419692077406438,0.4829648584064565
22,84437365,corrected,92.37579496477724,788.303339237778,91.93244281071013,784.516413868084,163308.4490357997,788.303339237778,91.93203147414428,223862096787.50772,False,8.934071594524647e-08,15.431016573159138,15.40067131836206,0.487569713044582
23,1597894377,corrected,92.37576900462449,791.9485379820171,92.28150848929236,791.1395464213288,774472.6120444192,791.9485379820171,92.28140527522453,1061641720684.9794,False,1.8838747206633747e-08,15.407357923697026,15.35223655656197,0.4974467963216642
24,2790147889,corrected,92.37536824586815,787.6896345780242,92.09711893963436,785.3180789176145,260835.92341376413,787.6896345780242,92.09724686680076,357552086727.0667,False,5.593590624256871e-08,15.4332770506329,15.398813780699408,0.48607908526656496
25,1865961847,corrected,92.37581052862942,789.5592362594989,92.10483155800266,787.2363039673149,267579.77277581266,789.5592362594989,92.10403515898116,366796508969.2762,False,5.452614599904835e-08,15.42453595737881,15.38423352578533,0.4909839931219193
26,2819493421,corrected,92.37581075972028,789.5497656495145,91.96243471849488,786.0135500104725,175497.4462972021,789.5497656495145,91.96208030105947,240570690254.56445,False,8.313564706837986e-08,15.423654459369718,15.379263395040251,0.4909106212162803
27,1181154415,corrected,92.37569829893557,787.5124442717107,91.8899077838865,783.357929759355,148490.0621166953,787.5124442717107,91.88837116910611,203549154093.45218,False,9.82563650980231e-08,15.441072007792902,15.405834781419127,0.4853310947931416
28,3061129935,corrected,92.37572366788265,787.7799119773425,91.82599722003928,783.0951998602633,131685.0752401003,787.7799119773425,91.82639045258819,180512993864.80154,False,1.1079534814529396e-07,15.440797688416964,15.393768169145112,0.4861228822800064
29,1687758877,corrected,92.37529412596841,782.5616600175041,1.2453004963391958,10.548502365427751,10.69263320186562,782.5616600175041,1.245168346955646,14657387.923784822,False,0.0013644996027938662,15.471235364664542,15.458061140553214,0.4719147466469422
30,1428166575,corrected,92.37582702241312,788.6285649108797,92.24712811578087,787.520183200316,560331.2523081462,788.6285649108797,92.24599698362746,768098220134.1826,False,2.6038336602975213e-08,15.424161704632288,15.395911574644916,0.4884776832188824
31,1438483254,corrected,92.375365528224,781.991908349293,86.63749913438264,733.4320062383783,11810.935963025508,781.991908349293,86.63906741616366,16190349643.981138,False,1.2353037729135839e-06,15.485541275945067,15.44761502455745,0.47025034978302765
32,3188317458,corrected,92.37584884253965,792.4490404842041,92.33956132103754,792.13854136547,2021678.6108595773,792.4490404842041,92.33965393511644,2771303110950.916,False,7.216821545419984e-09,15.406421963179964,15.34997619272134,0.4989186812443242
33,981575883,corrected,92.37565093397082,786.9479528144025,91.57294397215848,780.1064963299482,89732.82394750767,786.9479528144025,91.57256860326814,123005136832.50891,False,1.6259483558994115e-07,15.43993225091111,15.409187255390858,0.4838981884843303
34,32217081,corrected,92.37573556970156,788.4265112861262,91.94332589445926,784.7411250479109,167882.1885935901,788.4265112861262,91.94393849065833,230131747461.50604,False,8.69067402503663e-08,15.430480577294567,15.389121274466001,0.48795101022706766
35,1076860294,corrected,92.37581612039448,790.1145540349605,92.22582420626354,788.8300552236358,485221.24099871947,790.1145540349605,92.22563963598996,665137934118.7559,False,3.006895107628779e-08,15.417286995706448,15.37760331374758,0.4925610285672097
