"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"9AA545Z7","report","2025","Benedikt, Michael; Bartmann, Wolfgang; Burnet, Jean-Paul; Carli, Christian; Chance, Antoine; Craievich, Paolo; Giovannozzi, Massimo; Grojean, Christophe; Gutleber, Johannes; Hanke, Klaus; Henriques, Andre; Janot, Patrick; Lourenco, Carlos; Mangano, Michelangelo; Otto, Thomas; Poole, John Howard; Rajagopalan, Srini; Raubenheimer, Tor; Todesco, Ezio; Ulrici, Luisa; Watson, Timothy Paul; Wilkinson, Guy; Zimmermann, Frank","Future Circular Collider Feasibility Study Report Volume 2: Accelerators, technical infrastructure and safety","","","","10.17181/CERN.EBAY.7W4X","http://cds.cern.ch/record/2928793","In response to the 2020 Update of the European Strategy for Particle Physics, the Future Circular Collider (FCC) Feasibility Study was launched as an international collaboration hosted by CERN. The FCC ‘integrated programme’, described in this report, in a first stage consists of a highest-luminosity electron-positron collider, FCC-ee, serving as Higgs, top and electroweak factory, with a subsequent energy-frontier proton-proton collider, FCC-hh, as the second stage.     The FCC-ee is designed to operate at four baseline centre-of-mass energies, corresponding to the Z pole, the WW pair production threshold, the ZH production peak, and the top/anti-top production threshold, always delivering the highest possible luminosities to four experiments. Over a span of 15 years, FCC-ee will produce more than 6 trillion Z bosons, 200 million WW pairs, almost 3 million Higgs bosons,  and 2 million top anti-top pairs. On the Z pole and at the WW pair threshold, the collision energy can be precisely calibrated by frequent resonant depolarisation of pilot bunches. The sequence of operation modes and beam energies is flexible, between the Z, WW and ZH substages. The hadron collider, FCC-hh, will operate at a centre-of-mass energy of about 85 TeV, extending the energy frontier by almost an order of magnitude compared with the LHC, and providing integrated luminosity 5-10 times higher than that of the upcoming High-Luminosity LHC. The mass reach for direct discovery at the FCC-hh amounts to several tens of TeV. The FCC-hh can also accommodate ion-ion, ion-hadron, and lepton-hadron collision options.   This second volume of the Feasibility Study Report covers the complete design of the FCC-ee collider, the operation and staging concepts, the design of the full-energy booster and of the FCC-ee injector complex, the accelerator technologies required, safety concepts, and technical infrastructures,  along with the design of the FCC-hh hadron collider, the associated high-field magnet developments, hadron injector options, and FCC-hh key technical systems.","2025","2026-04-16 13:25:52","2026-06-01 15:30:22","2026-04-16 13:25:52","","","","","","","Future Circular Collider Feasibility Study Report Volume 2","","","","","CERN Document Server","","en","","","","","DOI.org (Datacite)","","","","/Users/maddiewatson/Zotero/storage/YZVWSJ3X/Benedikt et al. - 2025 - Future Circular Collider Feasibility Study Report Volume 2 Accelerators, technical infrastructure a.pdf","","Motivation and Requirements","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RQM4YPHL","preprint","2019","Blondel, Alain; Janot, Patrick; Wenninger, Jörg; Aßmann, Ralf; Aumon, Sandra; Azzurri, Paolo; Barber, Desmond P.; Benedikt, Michael; Bogomyagkov, Anton V.; Gianfelice-Wendt, Eliana; Kerchen, Dima El; Koop, Ivan A.; Koratzinos, Mike; Levitchev, Evgeni; Lefevre, Thibaut; Milanese, Attilio; Muchnoi, Nickolai; Nikitin, Sergey A.; Oide, Katsunobu; Perez, Emmanuel; Rossmanith, Robert; Sagan, David C.; Tenchini, Roberto; Tydecks, Tobias; Shatilov, Dmitry; Voutsinas, Georgios; Wilkinson, Guy; Zimmermann, Frank","Polarization and Centre-of-mass Energy Calibration at FCC-ee","","","","10.48550/arXiv.1909.12245","http://arxiv.org/abs/1909.12245","The first stage of the FCC (Future Circular Collider) is a high-luminosity electron-positron collider (FCC-ee) with centre-of-mass energy ranging from 88 to 365 GeV, to study with high precision the Z, W, Higgs and top particles, with samples of $5 \times 10^{12}$ Z bosons, $10^8$ W pairs, $10^6$ Higgs bosons and $10^6$ top quark pairs. A cornerstone of the physics program lays in the precise (ppm) measurements of the W and Z masses and widths, as well as forward-backward asymmetries. To this effect the centre-of-mass energy distribution should be determined with the high precision. This document describes the capacity offered by FCC-ee, starting with transverse polarization of the beams around the Z pole and the W pair threshold. A running scheme based on regular measurements of the beam energy by resonant depolarization of pilot bunches, during physics data taking, is proposed. The design for polarization wigglers, polarimeter and depolarizer is outlined. The $e^\pm$ beam energies will be monitored with a relative precision of $10^{-6}$. The centre-of-mass energy is derived subject to further corrections, related to the beam acceleration, synchrotron radiation and beamstrahlung; these effects are identified and evaluated. Dimuon events $e^+e^- \to μ^+ μ^-$, recorded in the detectors, provide with great precision the beam crossing angle, the centre-of-mass energy spread, and the $e^+$ and $e^-$ energy difference. Monitoring methods to minimize absolute error and relative uncertainties are discussed. The impact on the physics measurements is given. A programme of further simulations, design, monitoring and R&D is outlined.","2019-09-26","2026-04-16 13:36:07","2026-06-01 15:30:11","2026-04-16 13:36:07","","","","","","","","","","","","arXiv","","","","","","","arXiv.org","","arXiv:1909.12245 [physics]","","/Users/maddiewatson/Zotero/storage/L8KIQW5J/Blondel et al. - 2019 - Polarization and Centre-of-mass Energy Calibration at FCC-ee.pdf; /Users/maddiewatson/Zotero/storage/6XSYU43Y/1909.html","","Motivation and Requirements","","","","","","","","","","","","","","","","","","","","arXiv:1909.12245","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TRMZNDM3","conferencePaper","2016","Koratzinos, Michael","The FCC-ee design study: luminosity and beam polarization","Proceedings of The European Physical Society Conference on High Energy Physics — PoS(EPS-HEP2015)","","","10.22323/1.234.0518","https://pos.sissa.it/234/518","","2016-03-16","2026-04-16 13:37:30","2026-06-01 15:29:58","2026-04-16 13:37:30","518","","","","","","The FCC-ee design study","","","","","Sissa Medialab","Vienna, Austria","en","","","","","DOI.org (Crossref)","","","","/Users/maddiewatson/Zotero/storage/6RHXVDCN/Koratzinos - 2016 - The FCC-ee design study luminosity and beam polarization.pdf","","Motivation and Requirements","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","The European Physical Society Conference on High Energy Physics","","","","","","","","","","","","","","",""
"RDWXF5UM","journalArticle","1999","Assmann, R W; Division, SL","THE REGIMES OF POLARIZATION IN A HIGH ENERGY e+e- STORAGE RING","New York","","","","","Several regimes of polarization must be considered for high-energy e+e- storage rings. Based on a theoretical paper by Derbenev, Kontratenko and Skrinsky from 1979 we describe the different cases. Particularly, it is shown that from a certain high energy onwards the polarization degree is expected to increase with energy. This is in sharp contrast to the usually considered regime where the expected polarization level decreases for higher beam energies. The theory of Derbenev, Kontratenko and Skrinsky is applied to the LEP storage ring with its energy range from the Z at 91 GeV to the W at 200 GeV. Though the theoretical expectations for beam polarization at the highest beam energy remain low, it is shown that the depolarization can move into a new regime for LEP above 60 GeV. The high energy LEP is the first storage ring that operates in this new and experimentally unknown regime of beam spin dynamics.","1999","2026-04-16 13:39:28","2026-06-01 15:33:52","","","","","","","","","","","","","","","en","","","","","Zotero","","","","/Users/maddiewatson/Zotero/storage/RAH8F8BN/Assmann and Division - 1999 - THE REGIMES OF POLARIZATION IN A HIGH ENERGY e+e- STORAGE RING.pdf","","Fundamentals of Spin and Polarization","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
