,Seed,Mode,P_BKS,t_BKS,P_DKM,t_DKM,t_depol,t_pol,P_eq,t_dep_turns,N_over_tau,qx,qy,spin_tune
0,3101267330,misaligned,20.209042358462483,884.3004812850088,20.20797133494138,884.2855253677335,52285266.17802937,7.295046872365014e-07,19.238281620596588,24022922992.795975,4.1626907778869426e-08,15.421289140375576,15.382719980281696,9.56048805341232e-06
1,1918905562,misaligned,22.865616246436396,883.0671429974924,22.88414590723835,883.0525685404175,53504202.92255624,7.295046872356609e-07,22.20820626288034,40892421267.87895,2.4454409129974932e-08,15.422681817640772,15.379593519785471,1.740433091250106e-05
2,3606871428,misaligned,9.98942360725817,887.4852486408295,9.978697868427668,887.4705227474922,53485176.04349614,7.295046872386611e-07,9.659479019013109,35616049821.44725,2.8077229367469624e-08,15.42415052019707,15.366720215196848,2.1806467536135465e-05
3,248041344,misaligned,53.83346672113285,857.6709298460231,53.82646115188648,857.6602128886608,68637973.2053227,7.295046872178161e-07,52.44003675609336,44245636290.287865,2.2601098861799057e-08,15.417156608980283,15.388281463521842,1.2280456681031029e-05
4,1816280124,misaligned,4.100137551289485,888.360188798177,4.116342391709833,888.3455632881925,53958517.21794625,7.295046872392516e-07,3.950557496506869,32162196400.473553,3.1092403875292426e-08,15.425128279803037,15.376708917873858,2.455257710451548e-05
5,2691828432,misaligned,12.215073140898328,886.9800726458561,12.208487406288326,886.9651522405861,52727818.107609466,7.295046872383195e-07,11.872862545151856,42184000493.26075,2.3705670119166592e-08,15.417100067355449,15.38054185454264,1.9847237199779968e-05
6,2087296696,misaligned,15.318522290727625,886.0802643470911,15.327541171710376,886.0651092064574,51805841.01250227,7.295046872377103e-07,14.701416580620604,28936406419.49369,3.4558541427118145e-08,15.420268399929949,15.379163856427706,2.540906220121276e-05
7,4200330788,misaligned,7.951919095269787,887.7926277588573,7.951234987709165,887.7771302833671,50857443.96601001,7.295046872388686e-07,7.6604389032816815,31983652154.37337,3.1265972853049e-08,15.421750279473978,15.377070777024825,2.02488753985769e-05
8,2974526542,misaligned,71.51490137570752,832.3942105764321,71.52151703102996,832.3878521781551,108970026.5572295,7.295046871989742e-07,70.70380080563326,99464709365.50484,1.0053817141568084e-08,15.417025748409586,15.38370481177025,4.617361129680905e-06
9,1656368153,misaligned,10.16883538095678,887.4248599056959,10.165982167219852,887.410381844515,54393335.12544756,7.295046872386202e-07,9.843281536533674,36780750134.55507,2.7188134998380908e-08,15.425971250496556,15.378977416243378,1.3213471691016804e-05
10,554351025,misaligned,20.784939958787778,884.0754932695299,20.80082719120759,884.0603494567346,51610258.26772668,7.295046872363483e-07,20.186910720716355,40908043567.70702,2.4445070279269093e-08,15.414497893235794,15.387201841993338,1.0735412845445276e-05
11,1989435883,misaligned,6.245892257499306,888.0600962880475,6.248384170368829,888.044425204112,50324331.16971551,7.295046872390491e-07,6.054064976781551,38419435235.744896,2.6028492971432704e-08,15.419433788009073,15.376114583466844,2.8280801202673393e-05
12,84733408,misaligned,27.495293849101465,880.667512980884,27.485195717718497,880.6533909614757,54918691.809440725,7.295046872340189e-07,26.517777401844793,32748916521.50679,3.0535361355948445e-08,15.417905589962508,15.378961297732236,1.9325045758715524e-05
13,784646448,misaligned,44.77627940507078,867.3743806803819,44.77918033559773,867.3629207478748,65648586.99962106,7.295046872247578e-07,43.63358292051514,45401320874.19817,2.202579089650023e-08,15.413527171774971,15.391507315133198,1.1649646788257143e-05
14,926333407,misaligned,55.77996719737746,855.2674997516317,55.80246204292286,855.257671462559,74425374.03019865,7.295046872160725e-07,54.26232220886771,41918145985.119675,2.3856016922957074e-08,15.414904171759996,15.387773042533604,1.0644831754650448e-05
15,837782412,misaligned,22.78652764719248,883.1300488466875,22.799430213031023,883.1159668053646,55383039.220962845,7.295046872357039e-07,21.930618681129378,31018435045.626263,3.2238892727149516e-08,15.417524551696582,15.380582455988447,1.079894840143292e-05
16,521038596,misaligned,28.368543587311677,880.1727240611295,28.38227003047366,880.1580739173708,52879421.682230815,7.29504687233679e-07,27.74368527684519,53570095168.705536,1.86671312950024e-08,15.417038188764572,15.383594693443923,1.1110366632490384e-05
17,3455517019,misaligned,78.57592670540299,819.6638322546651,78.56295560802529,819.6596211523936,159541446.13540038,7.295046871890445e-07,77.84163454601868,119110690162.10718,8.3955520586693e-09,15.414751261023182,15.385009129337009,3.608501120325672e-06
18,1282628972,misaligned,6.844233163546912,888.0043731470168,6.849505217741624,887.9893112547597,52353208.8957134,7.295046872390117e-07,6.675200689924312,48070783181.79549,2.080265670351513e-08,15.423911266609185,15.379933027804672,1.5737155437845722e-05
19,58412628,misaligned,5.591090957119869,888.2184393349719,5.610333133528852,888.2031182905628,51492467.90716383,7.295046872391561e-07,5.3410596078086705,26009060091.95243,3.8448140627327556e-08,15.415707023648183,15.375113719022776,2.714724476408714e-05
20,3822595937,misaligned,15.110931477456448,886.1449866167192,15.131622015386412,886.1301231213878,52830087.983098194,7.295046872377541e-07,14.578983236983586,33291591546.53168,3.003761471127925e-08,15.421126859735658,15.38052315069802,2.792755111261879e-05
21,2274043112,misaligned,21.010667726681465,883.9235847449203,21.03634750595755,883.909247389802,54494585.93241629,7.295046872362447e-07,20.573401756857884,57009477694.1345,1.7540943022933298e-08,15.421872722088745,15.380954942558905,3.1687321961265025e-05
22,4239737170,misaligned,65.7554930415133,841.5476207282567,65.75540376071974,841.5401620648307,94949467.5772418,7.295046872059281e-07,64.8112269224354,79178349643.89369,1.2629715124115637e-08,15.417618151869553,15.379042097252327,7.928259476342142e-06
23,4244887422,misaligned,53.68489705693569,857.7991462173491,53.694891914106634,857.7887746180993,70944746.39664039,7.295046872179089e-07,52.547162091248666,54308234346.41341,1.8413413951581387e-08,15.417850840320732,15.383544596516282,5.617710810933281e-06
24,46002333,misaligned,29.27492869630843,879.6525702706925,29.280000161975707,879.6394066963221,58781683.70057754,7.295046872333216e-07,28.630779243933336,53595659018.82353,1.8658227518926232e-08,15.422304288982405,15.374964668443212,6.4919442134537655e-06
25,2567819603,misaligned,15.646677579650028,885.954508544263,15.657303657156923,885.9393148755634,51659802.89728171,7.295046872376251e-07,15.128329767621269,35444842307.2195,2.8212849455852073e-08,15.420914180725651,15.376414668796196,1.8520947668935057e-05
26,2042723832,misaligned,7.396185536606283,887.9415443195167,7.436300422399857,887.9254088958775,48863040.50309191,7.295046872389692e-07,7.114395498300176,30730431418.037132,3.25410335571486e-08,15.412482261423351,15.39032073879602,4.496802659119625e-05
27,448156219,misaligned,9.819483730253753,887.4962087138748,9.81116183033723,887.481743352818,54449846.04466139,7.295046872386684e-07,9.43577975355987,29917129021.34116,3.34256672586015e-08,15.42031864617744,15.375828201513905,2.6106914112825643e-05
28,1404682282,misaligned,16.208364097440725,885.7776162883085,16.17907196623255,885.7625872328127,52204789.13862168,7.29504687237505e-07,15.697563349211425,37314474858.05533,2.6799251598850343e-08,15.422285636676722,15.381047112988648,5.919858289479633e-06
29,1923114153,misaligned,7.2464474053943055,887.9829781157598,7.234069161716524,887.9675967953971,51263486.64993868,7.29504687238997e-07,7.0941352153376975,56694555272.76043,1.7638378062742507e-08,15.425069194238755,15.374143232768208,1.9960276224322707e-05
30,726689259,misaligned,41.85435758930871,870.0705427126644,41.84535361269215,870.0582119271958,61392035.61443011,7.295046872266589e-07,40.48770499425562,35333886353.892395,2.8301443831689904e-08,15.423296850406508,15.377375196877177,3.3114800024105777e-06
31,3636568390,misaligned,19.57888472448029,884.5672107940323,19.572053243484028,884.5523863325311,52780739.26099326,7.295046872366829e-07,18.757804286355327,27701229457.73341,3.609948076585561e-08,15.420640781687869,15.373605554318678,1.797048264077498e-05
32,3183837431,misaligned,7.97337473630923,887.8345386698294,7.96719948013958,887.8191635779601,51267109.440356605,7.29504687238897e-07,7.727642598147256,38272692602.5382,2.6128289702138208e-08,15.41584230878268,15.381063096033726,1.19337170572807e-05
33,2022584743,misaligned,29.887872450613028,879.2010095617683,29.87162649343304,879.1870024004286,55184778.79672136,7.29504687233011e-07,28.7892293600369,31581554431.28755,3.166405257777018e-08,15.414622523401494,15.378126368507257,1.566896271884813e-05
34,3884592411,misaligned,37.83137557474856,873.5077255664962,37.81344879913269,873.4952576936471,61197677.02740751,7.295046872290657e-07,36.71386964952812,39338608194.50643,2.5420319779886072e-08,15.419092180171576,15.382621733063363,1.1508166012211398e-05
35,4130126896,misaligned,21.900943467242833,883.5531846106104,21.888984645349595,883.5379677174159,51301719.41950855,7.295046872359925e-07,21.115348195981458,32553972801.470737,3.0718216977647096e-08,15.41630212333404,15.388718962574933,2.170660578310102e-05
36,2545668661,misaligned,26.64551264446553,881.1486379250574,26.60468119742206,881.1343297346614,54263347.98369878,7.295046872343487e-07,25.65862305381837,31404064858.181892,3.1843011550126256e-08,15.425631377153454,15.370394658597773,2.5864316545887685e-05
37,3262931064,misaligned,6.667170381270971,888.049822864013,6.651062202357669,888.0351180837783,53630140.45258076,7.295046872390422e-07,6.485014577890741,43338830676.307686,2.3073995869175037e-08,15.423979804941103,15.373220907636542,1.807738356507958e-05
38,3101267330,corrected,20.209042358462483,884.3004812850088,20.20797133494138,884.2855253677335,52285266.17802937,7.295046872365014e-07,19.528826597287424,34801762014.889175,2.873417729746476e-08,15.421289140375576,15.382719980281697,9.560488053412319e-06
39,1918905562,corrected,22.865616246436396,883.0671429974924,22.88414590723835,883.0525685404175,53504202.922556244,7.295046872356609e-07,21.970368946012943,29707080209.461075,3.3662008953728185e-08,15.422681817640772,15.379593519785471,1.740433091250106e-05
40,3606871428,corrected,9.98942360725817,887.4852486408295,9.978697868427668,887.4705227474922,53485176.04349614,7.295046872386611e-07,9.514191979997381,24355644749.15633,4.105824379929994e-08,15.42415052019707,15.366720215196848,2.1806467536135462e-05
41,248041344,corrected,53.83346672113285,857.6709298460231,53.826461151886484,857.6602128886608,68637973.2053227,7.295046872178161e-07,52.46347008561534,45022552718.15835,2.2211090656276434e-08,15.417156608980283,15.388281463521842,1.2280456681031029e-05
42,1816280124,corrected,4.100137551289485,888.360188798177,4.116342391709833,888.3455632881925,53958517.21794625,7.295046872392516e-07,3.9350888640463335,29033772568.688507,3.4442647700507606e-08,15.425128279803037,15.376708917873858,2.455257710451548e-05
43,2691828432,corrected,12.215073140898328,886.9800726458561,12.208487406288326,886.9651522405861,52727818.107609466,7.295046872383195e-07,11.835925907676915,37955972431.77383,2.6346314846695293e-08,15.417100067355449,15.38054185454264,1.9847237199779968e-05
