,Seed,Mode,P_BKS,t_BKS,P_DKM,t_DKM,t_depol,t_pol,P_eq,t_dep_turns,N_over_tau,qx,qy,spin_tune
0,581315476,misaligned,40.32540577188103,871.4485457587541,40.313498704104894,871.4352562059266,57143456.713819854,7.29504687227626e-07,39.02451407709217,35835215908.791,2.790551067266439e-08,15.420194180180419,15.381194872463391,9.643158234434123e-06
1,1886405166,misaligned,16.57083024859203,885.6535353684413,16.585244531614592,885.6383997856227,51822832.93801202,7.295046872374209e-07,15.957200976992628,31570860564.141777,3.167477801146166e-08,15.417856066546712,15.386946825248154,1.854470053545497e-05
2,1426961682,misaligned,45.50923165538052,866.6322600206593,45.51405893548955,866.6197799846987,60179366.540181525,7.295046872242323e-07,43.96677363078665,33862421208.078262,2.953126103580091e-08,15.406224349206157,15.384734745052507,1.3473441563689956e-05
3,3224675569,misaligned,7.456289029856386,887.8965558183852,7.444587404771309,887.8815303328303,52467319.60034921,7.295046872389388e-07,7.1374003705331495,27241766664.921803,3.670833879095155e-08,15.427296547965616,15.374833775837388,1.264274497831686e-05
4,96699067,misaligned,29.97691938917086,879.1549028844505,29.96312649802325,879.1416015438735,58107049.0491752,7.295046872329791e-07,28.866475376262578,31328125351.512363,3.1920199143091246e-08,15.426690929730833,15.381029893812393,2.2971456155691596e-05
5,4137562521,misaligned,6.432267073596251,888.0254011433972,6.441896530405809,888.0098082945027,50572879.3735694,7.295046872390257e-07,6.254168148716843,42746991729.77162,2.3393459037341772e-08,15.421092792932,15.372028420952619,2.685129482528967e-05
6,2738594822,misaligned,7.465349281668654,887.9661491268103,7.467035538755337,887.9513476342678,53269677.80523763,7.295046872389857e-07,7.272995466238773,46023626296.96647,2.1727970619862097e-08,15.416499856281199,15.388183819464741,2.2474194204922494e-05
7,343417383,misaligned,3.580489443059577,888.3445356114596,3.552127524157553,888.3290876974413,51084068.04607862,7.295046872392411e-07,3.4775528844923222,41139352013.46499,2.4307626422329114e-08,15.412670111141283,15.384600835427063,3.630805890312408e-05
8,652854355,misaligned,5.341471365422066,888.221158678036,5.356594978117994,888.2062031014816,52751128.650627226,7.295046872391578e-07,5.245836569139187,66786986276.21356,1.497297685905845e-08,15.415799295695875,15.38223457179868,2.1123604935883295e-05
9,1248929563,misaligned,17.71879265496694,885.2579805093202,17.68240387223372,885.2438041043328,55279821.85667241,7.295046872371523e-07,17.364238577771022,59431271774.571884,1.6826158521276294e-08,15.425950397379744,15.378388991300941,2.670834640033178e-05
10,801609684,misaligned,22.79710431584435,883.125491590705,22.80690798051025,883.1111303725314,54305835.45990664,7.295046872357008e-07,22.216355136083344,46310400617.639595,2.1593421491998514e-08,15.416662009087279,15.385801388501111,1.5295602569323006e-05
11,4267942594,misaligned,7.267827775789809,887.9336512278577,7.28454176997689,887.9187125403163,52776584.437989645,7.295046872389638e-07,7.003956221012292,32307494205.925907,3.0952570744919547e-08,15.421180351388097,15.37780947429162,2.1006378519108403e-05
12,2435106960,misaligned,20.515260659796276,884.1307525276931,20.514559429774533,884.1170144248061,56898324.87925653,7.29504687236386e-07,20.087440291233165,56905147200.25067,1.7573102771898197e-08,15.418144567520473,15.386255025605678,9.757758624094531e-06
13,1834466443,misaligned,45.809596503131026,866.360029228083,45.777507950505075,866.3491269536521,68845290.9255883,7.295046872240394e-07,44.86592758021741,56463437982.31437,1.771057582985334e-08,15.422102340075286,15.376339333401154,1.7336344338453717e-05
