,R56,Vdeb,Phasdeb,RMS_Spread_%,Efficiency_%
12,0.40811066020010545,-0.054970543385865794,0.10887276019541013,6.443917426536921,93.0
47,0.3300170052944527,-0.01543346100711343,0.11585640342021558,6.45211834395841,93.0
70,0.39306119232416437,-0.05135806615494849,0.13527230048209932,6.456219724345064,93.0
41,0.32379422752781756,-0.015417636307000993,0.26571511977319795,6.461427868824737,93.0
139,0.4429455206802402,-0.06137501091464838,0.12847207322466492,6.466365685163823,93.0
134,0.4357274259781298,-0.0632579788505739,0.1294373821402491,6.475970076205042,93.0
90,0.22989856148457544,-0.008931212347062845,0.44667679970023566,6.483665291666093,93.0
0,0.29363502971184063,-0.01376011710500194,0.1180886024090127,6.545790527819366,93.0
130,0.30435275078719476,-0.01649919872736505,0.15004708871849254,6.55677889136743,93.0
78,0.28961643213606814,-0.016193016723433012,0.3850639689061275,6.57300967248112,93.0
142,0.3243121264730964,-0.02660991590105126,0.23099477851464212,6.608697194482968,93.0
32,0.2162628982463199,-0.011295957258215583,0.10503772102041456,6.6155303768021225,93.0
123,0.2275129811319192,-0.0130139171165293,0.2730471066459035,6.622192239002479,93.0
42,0.2085971302788046,-0.014937291425500432,0.16062065446850532,6.700606119480658,93.0
122,0.279500868742966,-0.01993915221298445,0.13192213606704162,6.722380814842078,93.0
102,0.27858899526908165,-0.022329499272471465,0.27683833035675,6.7544976920394655,93.0
36,0.2761534422933427,-0.02741666996981762,0.39941120440385247,6.842060560767857,93.0
71,0.2496789203835431,-0.06475370949967925,0.10637763897804241,8.068247095857952,92.60000000000001
101,0.3591026028159451,-0.0922353407097112,0.4158935173378483,7.192355188474189,91.60000000000001
124,0.25698379063548543,-0.07329864017085932,0.1201455660058255,8.24435688930195,90.8
27,0.3285586096034029,-0.09198969805491938,0.3141022611820233,7.669945980802133,90.60000000000001
93,0.34031929939237404,-0.09447619496168333,0.37174453625969883,7.521450279783965,90.2
73,0.4038653571137085,-0.09484262954108497,0.3390523706957249,6.802130015657469,89.8
