branch,Qx,Qy,nu_spin,nearest_resonance,distance_to_resonance,dnu_dQy,dn0_dQy
perfect,15.419920493667016,15.379970497494352,0.4915938513541607,10.379970497494352,9.888376646140191,-9.370584057645596e-09,0.0
misaligned,15.423289154693766,15.395181459310542,0.4914572681860747,10.395181459310542,9.903724191124468,0.004073679460748415,0.05703913452937966
corrected,15.471217105539452,15.458042080537549,0.47192012302181147,10.458042080537549,9.986121957515737,0.0002711123337537228,0.001959031354971258
